日付,曜日,特定日,1151番台,,,,,,,,,1152番台,,,,,,,,,1153番台,,,,,,,,,1155番台,,,,,,,,,1156番台,,,,,,,,,1157番台,,,,,,,,,1158番台,,,,,,,,,1160番台,,,,,,,,,1161番台,,,,,,,,,1162番台,,,,,,,,,1163番台,,,,,,,,
,,,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差
2026-05-03,日,はい,"-1,034","3,596",10,9,1/189,-,2.85,27,1.0,-868,"2,225",6,2,1/278,-,2.44,26,4.0,-677,"2,706",7,7,1/193,-,2.87,44,9.0,-967,"1,321",2,2,1/330,-,2.64,61,16.0,-735,"3,944",12,9,1/188,-,2.80,35,8.0,"+1,260","1,634",10,3,1/126,-,3.22,9,-,"+1,278","8,149",29,25,1/151,-,3.73,22,5.0,-531,"2,068",6,3,1/230,-,2.64,74,13.0,"-1,583","2,391",5,2,1/342,-,2.30,17,6.0,-785,"4,720",15,8,1/205,-,2.47,45,1.0,"+1,206","6,778",27,19,1/147,-,3.62,11,2.0
2026-05-02,土,はい,-208,"3,818",13,9,1/174,-,2.95,20,10.0,+337,"5,847",21,17,1/154,-,3.44,22,2.0,"-1,252","3,597",9,6,1/240,-,2.41,45,14.0,-885,"3,768",12,5,1/222,-,2.41,69,5.0,-87,"2,358",8,6,1/168,-,3.03,31,5.0,"+2,806","3,909",22,9,1/126,-,3.62,9,1.0,+609,"6,142",24,14,1/162,-,3.10,22,2.0,-679,"8,208",27,17,1/187,-,2.56,64,19.0,"+1,788","6,352",26,21,1/135,-,4.01,8,-,-425,"1,281",3,3,1/214,-,2.87,26,4.0,"+1,069","7,613",29,16,1/169,-,2.89,10,1.0
2026-05-01,金,いいえ,+511,"1,528",8,2,1/153,-,2.98,15,1.0,-592,"2,895",10,3,1/223,-,2.48,48,9.0,-534,818,2,0,1/409,-,2.66,39,7.0,-795,668,1,0,1/668,-,2.67,26,5.0,+927,"3,034",15,4,1/160,-,2.90,32,6.0,-119,"1,408",5,1,1/235,-,2.68,11,-,-580,"1,641",5,2,1/234,-,2.68,48,9.0,-733,"1,083",2,1,1/361,-,2.64,64,16.0,"-1,179","2,259",5,3,1/282,-,2.47,21,6.0,-759,866,1,1,1/433,-,2.69,15,1.0,"+1,011","6,783",24,25,1/138,-,4.09,14,3.0
2026-04-30,木,はい,+127,"3,858",13,11,1/161,-,3.20,32,7.0,-256,"3,540",12,8,1/177,-,2.90,42,10.0,-744,588,0,1,1/588,-,2.78,42,10.0,-632,"4,523",12,12,1/188,-,2.86,21,5.0,"+2,598","7,650",34,20,1/142,-,3.76,42,10.0,+960,"1,140",8,0,1/143,-,2.94,11,-,"-1,138","6,917",21,13,1/203,-,2.36,50,8.0,"+1,092","4,132",18,8,1/159,-,3.02,54,4.0,+0,"1,906",8,2,1/191,-,2.75,16,5.0,+523,"4,114",17,10,1/152,-,3.23,21,5.0,+994,"7,221",26,18,1/164,-,3.15,25,4.0
2026-04-29,水,いいえ,"-1,393","6,882",22,13,1/197,-,2.43,34,10.0,+715,"7,087",26,15,1/173,-,2.83,21,1.0,"+2,410","7,566",36,14,1/151,-,3.19,20,1.0,+994,"2,626",12,7,1/138,-,3.33,16,-,"-1,091","3,725",11,7,1/207,-,2.60,88,46.0,-232,"3,987",13,11,1/166,-,3.12,19,1.0,+111,"5,938",21,16,1/160,-,3.25,42,2.0,"-1,690","1,996",3,2,1/399,-,2.36,88,46.0,"+2,031","6,772",30,14,1/154,-,3.19,18,2.0,+993,"6,407",24,17,1/156,-,3.34,24,3.0,-178,"6,034",20,15,1/172,-,2.98,40,6.0
2026-04-28,火,いいえ,-315,"4,456",16,7,1/194,-,2.56,26,4.0,"-1,405","4,047",10,8,1/225,-,2.48,22,2.0,-756,621,0,1,1/621,-,2.76,52,10.0,+69,"3,539",11,12,1/154,-,3.37,15,3.0,-925,"2,507",7,3,1/251,-,2.48,88,25.0,-738,"2,515",6,6,1/210,-,2.77,12,-,-925,"2,038",5,2,1/291,-,2.47,56,4.0,"-1,440","1,209",1,0,1/1209,-,2.39,63,5.0,-997,"1,348",2,2,1/337,-,2.62,20,5.0,-875,"1,779",5,0,1/356,-,2.37,58,2.0,-899,"3,809",10,10,1/190,-,2.86,42,16.0
2026-04-27,月,いいえ,"+1,417","5,880",23,18,1/143,-,3.70,16,4.0,+786,"1,698",8,5,1/131,-,3.30,12,6.0,+784,"7,599",29,18,1/162,-,3.16,34,2.0,-263,196,0,0,-,-,2.88,22,3.0,-855,"1,276",2,2,1/319,-,2.66,86,27.0,"+1,034","4,168",16,14,1/139,-,3.66,6,-,"-1,073","7,130",18,24,1/170,-,3.37,45,11.0,-338,503,1,0,1/503,-,2.77,59,14.0,+434,"3,741",13,9,1/170,-,3.00,19,3.0,-293,"1,879",7,2,1/209,-,2.69,19,3.0,-203,"2,019",8,1,1/224,-,2.56,32,10.0
2026-04-26,日,はい,"-1,052","5,135",14,11,1/205,-,2.55,35,4.0,-655,"3,364",10,6,1/210,-,2.60,22,2.0,"-1,724","5,139",14,8,1/234,-,2.23,49,7.0,"-1,514","2,310",4,5,1/257,-,2.61,20,5.0,"-1,375","3,622",9,8,1/213,-,2.63,86,36.0,+978,"4,680",20,8,1/167,-,2.85,11,-,"+1,738","7,012",26,28,1/130,-,4.36,42,7.0,"-1,177","2,661",6,6,1/222,-,2.69,50,1.0,+151,"5,284",21,9,1/176,-,2.71,31,1.0,+288,"3,657",14,7,1/174,-,2.85,15,4.0,"+3,002","7,453",34,19,1/141,-,3.75,30,8.0
2026-04-25,土,はい,+198,"3,610",15,5,1/181,-,2.70,33,13.0,"-1,022","2,366",5,5,1/237,-,2.66,17,2.0,-681,"3,209",10,4,1/229,-,2.44,50,12.0,"+1,752","3,935",19,11,1/131,-,3.63,15,1.0,-583,"2,179",7,4,1/198,-,2.78,84,29.0,"+3,061","7,371",34,21,1/134,-,4.02,14,-,-901,"1,442",2,3,1/288,-,2.70,86,2.0,-912,"3,206",10,4,1/229,-,2.44,38,5.0,"-1,690","2,989",5,9,1/214,-,2.82,55,5.0,+432,"4,749",19,12,1/153,-,3.27,20,3.0,"-1,197","3,637",9,6,1/242,-,2.39,86,2.0
2026-04-24,金,いいえ,"-1,460","3,166",8,5,1/244,-,2.44,44,13.0,-297,"1,167",4,1,1/233,-,2.75,10,-,"-1,585","4,247",8,15,1/185,-,3.11,21,11.0,-764,"1,798",5,1,1/300,-,2.47,23,1.0,-299,"3,045",11,5,1/190,-,2.72,49,5.0,-420,"1,269",3,3,1/212,-,2.88,50,1.0,"-1,334","3,500",10,5,1/233,-,2.41,86,5.0,-208,902,3,1,1/226,-,2.82,22,1.0,-368,708,1,2,1/236,-,2.92,52,2.0,"-2,116","6,797",17,17,1/200,-,2.60,31,8.0,-173,"3,949",14,7,1/188,-,2.69,81,29.0
2026-04-23,木,いいえ,+777,"6,549",23,22,1/146,-,3.82,49,3.0,"+1,189","3,402",15,10,1/136,-,3.51,8,-,+715,"5,204",22,12,1/153,-,3.23,12,4.0,-317,340,0,1,1/340,-,2.93,14,2.0,"-1,246",780,0,0,-,-,2.54,32,7.0,-579,703,1,1,1/352,-,2.79,45,13.0,-737,"8,211",25,24,1/168,-,3.28,62,13.0,-501,865,2,1,1/288,-,2.77,12,4.0,-409,584,1,1,1/292,-,2.86,46,1.0,-105,"1,778",6,3,1/198,-,2.81,25,11.0,-934,"3,947",10,11,1/188,-,2.91,77,15.0
2026-04-22,水,いいえ,"-1,227","3,386",10,3,1/260,-,2.25,65,3.0,+978,"4,450",19,11,1/148,-,3.32,8,-,-346,"3,962",14,9,1/172,-,2.94,16,1.0,"+2,687","6,398",30,15,1/142,-,3.55,9,1.0,-807,"1,317",3,1,1/329,-,2.59,26,10.0,"+1,065","7,320",25,24,1/149,-,3.78,46,4.0,-3,"3,141",10,9,1/165,-,3.12,51,5.0,"+2,262","6,315",30,11,1/154,-,3.06,12,3.0,"+2,434","8,778",38,19,1/154,-,3.29,42,16.0,"-1,014","1,168",2,1,1/389,-,2.59,15,3.0,-775,"4,677",13,15,1/167,-,3.25,62,11.0
2026-04-20,月,はい,"+1,014","5,958",23,16,1/153,-,3.40,62,5.0,+401,"3,034",10,12,1/138,-,3.60,8,-,+461,"3,036",14,4,1/169,-,2.82,16,2.0,"+3,417","8,056",37,24,1/132,-,4.17,12,4.0,-509,"2,678",10,2,1/223,-,2.48,18,2.0,+97,"6,985",23,19,1/166,-,3.19,57,2.0,-58,"3,432",10,13,1/149,-,3.50,35,15.0,"-1,227","4,053",11,10,1/193,-,2.79,20,2.0,-767,"1,236",2,3,1/247,-,2.82,86,24.0,"+3,505","7,111",33,21,1/132,-,4.08,14,2.0,-490,"2,208",6,6,1/184,-,2.96,55,20.0
2026-04-19,日,はい,-978,"3,223",8,9,1/190,-,2.91,94,8.0,+330,"3,517",15,6,1/167,-,2.88,11,-,+80,"3,546",14,3,1/209,-,2.42,31,5.0,-443,"1,950",7,3,1/195,-,2.78,32,1.0,+76,"4,202",16,9,1/168,-,2.96,13,2.0,-646,"3,263",10,5,1/218,-,2.53,86,32.0,"-1,498","2,605",4,8,1/217,-,2.83,39,7.0,+452,"6,203",23,14,1/168,-,2.98,15,2.0,-654,"2,608",7,5,1/217,-,2.67,86,32.0,+751,"6,653",24,16,1/166,-,3.06,26,11.0,-25,"4,609",16,11,1/171,-,2.98,54,15.0
2026-04-18,土,はい,"-1,037","6,310",22,6,1/225,-,2.02,93,7.0,+521,"6,150",23,14,1/166,-,3.02,19,4.0,"-2,747","7,826",20,14,1/230,-,2.05,48,14.0,-770,"2,826",9,3,1/236,-,2.45,15,-,"-1,194","6,656",21,10,1/215,-,2.18,20,1.0,"-1,192","3,534",8,8,1/221,-,2.61,81,28.0,-912,"7,484",21,26,1/159,-,3.65,25,5.0,-194,"4,935",17,10,1/183,-,2.74,31,6.0,"-1,516","8,985",27,21,1/187,-,2.62,86,5.0,-826,"5,845",18,12,1/195,-,2.57,53,5.0,"-1,510","3,119",7,7,1/223,-,2.64,34,3.0
2026-04-17,金,いいえ,-21,"6,495",21,19,1/162,-,3.32,71,10.0,-143,673,2,1,1/224,-,2.88,38,6.0,"+2,102","8,484",35,21,1/152,-,3.49,32,1.0,+168,304,2,0,1/152,-,2.97,16,1.0,"+2,119","4,303",21,12,1/130,-,3.70,15,-,-940,572,0,0,-,-,2.65,81,10.0,+325,"5,432",20,14,1/160,-,3.21,20,4.0,+207,"2,454",8,8,1/153,-,3.25,32,1.0,"-1,422","3,162",7,6,1/243,-,2.50,61,12.0,+614,"1,802",8,6,1/129,-,3.38,49,11.0,+272,"5,301",17,16,1/161,-,3.32,31,11.0
2026-04-16,木,いいえ,"-2,138","5,280",15,4,1/278,-,1.90,75,14.0,-403,739,2,0,1/370,-,2.71,32,7.0,+567,"1,387",8,0,1/173,-,2.79,53,5.0,-399,599,1,0,1/599,-,2.71,16,-,+350,"1,331",5,5,1/133,-,3.29,25,9.0,-281,"2,815",10,4,1/201,-,2.65,61,2.0,+737,"6,638",26,15,1/162,-,3.09,33,1.0,"+1,207","8,247",32,22,1/153,-,3.53,36,3.0,-323,824,2,2,1/206,-,2.93,61,2.0,"-1,072","3,245",8,7,1/216,-,2.64,59,6.0,+442,"4,579",17,13,1/153,-,3.35,48,12.0
2026-04-15,水,いいえ,"-1,425","1,485",2,1,1/495,-,2.43,32,1.0,"+1,790","8,857",32,26,1/153,-,3.68,31,4.0,-255,388,1,0,1/388,-,2.84,62,5.0,"+2,008","3,597",20,6,1/138,-,3.24,9,-,-524,440,0,1,1/440,-,2.87,36,4.0,"-1,834","3,122",6,7,1/240,-,2.57,52,16.0,-556,"3,613",8,14,1/164,-,3.36,27,18.0,-585,"2,130",7,2,1/237,-,2.55,74,12.0,-262,"2,575",9,4,1/198,-,2.71,57,1.0,+167,"4,426",16,10,1/170,-,2.96,54,2.0,-880,"3,106",10,3,1/239,-,2.38,56,2.0
2026-04-14,火,いいえ,"-1,146","2,573",5,8,1/198,-,2.93,22,-,+729,"4,121",16,9,1/165,-,3.00,52,1.0,-262,"4,250",15,8,1/185,-,2.72,47,11.0,-332,"2,864",9,7,1/179,-,2.94,25,3.0,-398,"2,600",8,5,1/200,-,2.75,26,1.0,-185,220,0,1,1/220,-,3.00,36,10.0,+322,"6,150",25,12,1/166,-,2.90,26,1.0,-590,728,1,0,1/728,-,2.64,74,19.0,-856,"2,642",6,6,1/220,-,2.70,51,4.0,"-1,251","2,299",4,6,1/230,-,2.75,83,9.0,-338,"5,188",19,8,1/192,-,2.50,55,3.0
2026-04-13,月,いいえ,+808,"3,164",15,4,1/167,-,2.82,18,-,"-1,014","5,397",16,9,1/216,-,2.33,86,24.0,"-1,862","2,611",2,9,1/237,-,2.81,35,9.0,-311,471,1,1,1/236,-,2.93,19,1.0,"+2,119","5,359",26,13,1/137,-,3.59,26,7.0,-528,"1,588",5,2,1/227,-,2.71,41,6.0,-544,415,0,0,-,-,2.74,42,1.0,-175,"4,997",17,12,1/172,-,2.96,58,10.0,-324,256,0,0,-,-,2.84,48,6.0,-43,"3,280",12,8,1/164,-,3.06,62,4.0,-949,"4,255",11,13,1/177,-,3.07,35,9.0
2026-04-12,日,はい,-864,"6,190",22,8,1/206,-,2.23,36,1.0,"-1,973","5,789",15,9,1/241,-,2.12,86,22.0,"-1,367","2,114",4,3,1/302,-,2.48,26,3.0,+288,"4,049",16,9,1/162,-,3.05,23,5.0,-969,"4,492",13,10,1/195,-,2.69,50,13.0,"+1,295","6,735",26,20,1/146,-,3.69,18,-,-798,"4,356",13,8,1/207,-,2.52,35,2.0,"-1,251","2,414",5,4,1/268,-,2.51,55,5.0,-783,"4,069",12,10,1/185,-,2.86,33,7.0,"-1,633","3,646",10,3,1/280,-,2.15,64,9.0,+832,"8,307",31,21,1/160,-,3.29,37,1.0
2026-04-11,土,はい,"+1,309","6,082",27,13,1/152,-,3.24,32,6.0,-185,"3,607",13,6,1/190,-,2.68,79,10.0,-297,"2,670",10,3,1/205,-,2.60,20,-,"-1,238","5,041",14,11,1/202,-,2.59,44,1.0,-593,"2,347",6,7,1/181,-,3.01,34,2.0,"-1,473","1,805",2,4,1/301,-,2.62,34,2.0,-316,"6,442",22,12,1/189,-,2.53,21,1.0,-382,867,3,0,1/289,-,2.71,52,8.0,"+1,585","9,098",36,23,1/154,-,3.47,26,5.0,-488,809,2,0,1/405,-,2.67,43,9.0,"-1,379","7,047",18,18,1/196,-,2.66,69,17.0
2026-04-10,金,はい,-932,"3,680",10,7,1/216,-,2.55,34,2.0,-313,"1,994",7,3,1/199,-,2.76,78,39.0,-368,"2,604",9,6,1/174,-,2.96,14,3.0,+579,"4,963",18,15,1/150,-,3.47,18,4.0,-42,819,3,1,1/205,-,2.88,32,6.0,+182,"5,676",21,14,1/162,-,3.14,26,2.0,-323,"2,847",9,8,1/167,-,3.08,11,-,-65,"4,645",18,6,1/194,-,2.48,36,2.0,"-1,481","1,735",2,2,1/434,-,2.42,79,1.0,-541,"4,535",12,14,1/174,-,3.12,39,3.0,-891,"3,515",8,12,1/176,-,3.15,24,6.0
2026-04-09,木,いいえ,"+1,204","9,000",33,23,1/161,-,3.30,39,4.0,-409,284,0,0,-,-,2.82,44,5.0,"+1,720","4,365",18,16,1/128,-,3.93,9,-,"+1,327","4,806",21,10,1/155,-,3.12,17,8.0,-278,"1,653",6,1,1/236,-,2.62,26,2.0,-67,"1,289",5,2,1/184,-,2.89,35,9.0,"+1,722","5,610",26,11,1/152,-,3.17,9,-,-638,980,2,1,1/327,-,2.70,24,2.0,-65,"5,965",21,12,1/181,-,2.71,56,12.0,-138,574,2,0,1/287,-,2.81,24,2.0,+627,"6,791",25,17,1/162,-,3.19,22,5.0
2026-04-08,水,いいえ,-504,"6,104",24,7,1/197,-,2.28,46,2.0,-296,449,1,0,1/449,-,2.80,39,4.0,"+4,277","4,530",28,15,1/105,-,4.34,9,-,"-1,071","2,500",7,3,1/250,-,2.48,48,2.0,"+2,053","7,181",33,14,1/153,-,3.18,15,6.0,-270,448,1,0,1/448,-,2.80,35,4.0,-650,"1,378",4,1,1/276,-,2.62,15,6.0,-290,989,2,3,1/198,-,2.97,17,2.0,-405,"5,587",17,18,1/160,-,3.42,31,8.0,+723,"1,693",8,3,1/154,-,3.02,23,6.0,"-1,428","3,447",7,10,1/203,-,2.84,44,5.0
2026-04-07,火,いいえ,-387,"1,636",5,3,1/205,-,2.81,41,6.0,"-1,430","4,804",12,12,1/200,-,2.70,23,5.0,+240,"2,052",8,5,1/158,-,3.08,13,-,-126,"3,141",10,8,1/175,-,2.98,35,3.0,"-1,198","2,672",7,3,1/267,-,2.40,24,1.0,"-1,268","1,384",2,2,1/346,-,2.60,18,2.0,+622,"6,153",23,18,1/150,-,3.55,13,-,+942,"2,589",14,2,1/162,-,2.82,16,3.0,-769,"2,320",6,4,1/232,-,2.63,26,2.0,-81,"1,531",7,1,1/191,-,2.76,42,1.0,+528,"4,804",16,16,1/150,-,3.54,32,6.0
2026-04-05,日,はい,"-1,521","5,926",18,13,1/191,-,2.65,28,10.0,+278,"3,307",13,7,1/165,-,2.99,18,4.0,-620,"5,920",19,13,1/185,-,2.72,38,3.0,-964,"3,155",7,8,1/210,-,2.74,35,3.0,-473,"1,673",5,3,1/209,-,2.79,14,4.0,"+1,513","7,728",31,18,1/158,-,3.23,10,-,-5,"2,002",8,2,1/200,-,2.70,14,4.0,-18,"3,934",16,5,1/187,-,2.59,38,3.0,+344,"5,397",20,14,1/159,-,3.23,28,10.0,-225,"1,438",6,0,1/240,-,2.61,32,4.0,"-1,723","5,318",11,18,1/183,-,3.11,45,7.0
2026-04-04,土,はい,-590,"6,435",22,13,1/184,-,2.65,16,4.0,-748,"1,980",6,3,1/220,-,2.69,25,8.0,-222,"2,534",9,4,1/195,-,2.73,38,5.0,"-1,053","1,515",3,2,1/303,-,2.60,27,2.0,+555,"4,187",18,7,1/167,-,2.85,16,4.0,-253,"2,182",6,8,1/156,-,3.26,29,2.0,"+1,115","6,851",25,19,1/156,-,3.42,12,-,-946,"2,036",5,4,1/226,-,2.71,17,1.0,-47,"2,229",8,3,1/203,-,2.70,45,7.0,-426,"2,214",8,3,1/201,-,2.71,33,4.0,"-1,053","1,833",4,2,1/306,-,2.50,33,4.0
2026-04-03,金,いいえ,"+1,455","5,734",23,18,1/140,-,3.78,9,-,-559,603,1,0,1/603,-,2.71,16,4.0,-115,"1,415",6,0,1/236,-,2.62,43,9.0,"+2,055","3,481",20,6,1/134,-,3.31,12,2.0,-383,338,0,0,-,-,2.79,32,6.0,-334,602,2,0,1/301,-,2.79,18,2.0,"+2,525","7,120",30,20,1/142,-,3.77,22,4.0,+144,789,3,2,1/158,-,3.03,10,1.0,-912,"1,653",3,4,1/236,-,2.78,51,8.0,-136,159,0,1,1/159,-,3.04,26,4.0,"+3,568","8,500",40,22,1/137,-,3.95,34,2.0
2026-04-02,木,いいえ,"-1,991","5,185",13,10,1/225,-,2.35,17,2.0,"+1,367","3,804",18,6,1/159,-,2.95,12,3.0,+43,450,2,0,1/225,-,2.88,44,2.0,+366,"5,956",22,15,1/161,-,3.19,33,2.0,-277,425,1,0,1/425,-,2.82,26,9.0,"+1,156","3,929",17,8,1/157,-,3.06,9,-,-227,"1,468",5,1,1/245,-,2.65,56,12.0,+975,"4,603",16,18,1/135,-,3.90,15,3.0,-327,"1,187",3,3,1/198,-,2.93,42,9.0,"+1,938","5,736",28,9,1/155,-,2.98,31,5.0,"-1,402","1,730",2,1,1/577,-,2.31,79,23.0
2026-04-01,水,いいえ,"+2,597","5,446",27,13,1/136,-,3.62,12,1.0,-67,299,1,0,1/299,-,2.89,16,4.0,"+2,425","6,955",30,19,1/142,-,3.74,48,13.0,-335,"1,118",3,3,1/186,-,2.97,81,23.0,"+4,417","6,525",36,16,1/125,-,4.02,24,8.0,-875,"2,945",7,10,1/173,-,3.14,11,-,-299,"2,383",9,3,1/199,-,2.69,49,1.0,-543,815,2,0,1/408,-,2.66,35,11.0,"+2,758","5,961",30,14,1/135,-,3.67,35,11.0,-458,881,2,1,1/294,-,2.76,58,9.0,-525,"2,288",7,3,1/229,-,2.59,81,23.0
2026-03-31,火,いいえ,-532,"1,488",4,1,1/298,-,2.56,15,5.0,+142,"1,838",9,0,1/204,-,2.61,16,1.0,-628,"4,436",14,9,1/193,-,2.67,88,9.0,-267,379,1,0,1/379,-,2.85,74,21.0,+696,"2,633",11,8,1/139,-,3.38,45,11.0,+313,"4,271",16,8,1/178,-,2.78,10,-,-568,755,1,1,1/378,-,2.76,49,4.0,-305,"1,216",3,4,1/174,-,3.05,34,18.0,-526,"2,633",8,5,1/203,-,2.73,78,4.0,-651,"1,095",2,2,1/274,-,2.77,53,4.0,-391,"1,814",6,2,1/227,-,2.66,79,1.0
2026-03-30,月,はい,+902,"7,464",28,20,1/156,-,3.42,15,2.0,-720,"1,166",2,3,1/233,-,2.86,32,17.0,"-1,673","1,629",1,2,1/543,-,2.41,88,4.0,-586,591,1,0,1/591,-,2.72,60,6.0,-575,"3,234",10,6,1/202,-,2.67,48,1.0,+538,"3,000",15,1,1/188,-,2.53,13,-,+215,"6,591",21,20,1/161,-,3.40,47,14.0,-403,264,0,0,-,-,2.84,33,1.0,"-2,116","6,088",18,8,1/234,-,2.07,84,22.0,+107,"4,609",17,8,1/184,-,2.67,54,6.0,-298,851,3,0,1/284,-,2.72,62,2.0
2026-03-29,日,はい,+481,"6,153",23,16,1/158,-,3.28,15,-,"+1,236","3,996",18,10,1/143,-,3.38,28,7.0,"-1,128","1,432",2,2,1/358,-,2.58,86,12.0,-8,"8,819",30,23,1/166,-,3.18,42,14.0,-843,"2,735",7,7,1/195,-,2.86,44,2.0,"-2,088","3,736",5,11,1/234,-,2.66,21,3.0,-39,"1,498",6,3,1/166,-,2.98,74,20.0,"+2,543","7,582",35,16,1/149,-,3.37,18,3.0,-621,"1,158",2,2,1/290,-,2.73,54,10.0,-597,"3,990",12,9,1/190,-,2.77,86,12.0,-12,"6,756",22,16,1/178,-,2.85,54,10.0
2026-03-28,土,はい,"+1,656","6,246",24,20,1/142,-,3.82,15,-,-454,"2,539",7,7,1/181,-,2.97,51,5.0,"-1,619","2,753",6,4,1/275,-,2.40,84,3.0,+688,"7,142",25,21,1/155,-,3.51,22,6.0,-453,"2,251",7,5,1/188,-,2.87,29,7.0,+672,"3,055",14,5,1/161,-,2.94,16,1.0,-179,"4,021",14,8,1/183,-,2.78,81,24.0,+356,"8,033",27,23,1/161,-,3.40,46,17.0,-879,"2,120",6,3,1/236,-,2.61,52,1.0,-309,"5,690",18,12,1/190,-,2.65,85,1.0,"-2,204","2,341",3,2,1/468,-,2.20,57,5.0
2026-03-27,金,いいえ,-875,"1,868",5,2,1/267,-,2.55,29,6.0,+306,"3,438",12,11,1/149,-,3.38,55,14.0,-870,"1,127",2,0,1/564,-,2.49,61,6.0,"-1,478","2,325",3,6,1/258,-,2.66,41,9.0,-37,"2,266",8,5,1/174,-,2.95,23,8.0,"+2,362","6,621",30,16,1/144,-,3.55,15,1.0,-975,"1,132",1,2,1/377,-,2.67,62,1.0,"-1,022","2,520",8,1,1/280,-,2.31,64,2.0,-371,463,1,0,1/463,-,2.79,32,3.0,"-1,144","2,859",7,5,1/238,-,2.53,85,21.0,-160,"3,329",13,3,1/208,-,2.46,14,-
2026-03-26,木,いいえ,"-1,513","1,408",0,3,1/469,-,2.57,24,6.0,-580,901,2,0,1/451,-,2.62,68,32.0,-163,"4,132",14,9,1/180,-,2.84,25,1.0,"-2,184","3,803",5,12,1/224,-,2.74,35,5.0,-311,231,0,0,-,-,2.86,18,3.0,"+2,797","6,026",28,17,1/134,-,3.86,15,-,-123,"2,084",7,5,1/174,-,2.98,36,1.0,-546,"7,500",22,24,1/163,-,3.46,35,5.0,-54,"1,573",5,4,1/175,-,2.99,30,5.0,-796,831,1,0,1/831,-,2.58,85,17.0,+125,"1,574",6,4,1/157,-,3.07,15,-
2026-03-25,水,いいえ,+354,"2,053",7,9,1/128,-,3.56,21,2.0,-214,"1,794",7,1,1/224,-,2.61,47,4.0,"-1,264","2,306",3,6,1/256,-,2.67,26,4.0,-181,601,2,1,1/200,-,2.93,19,3.0,-496,852,2,0,1/426,-,2.64,9,-,-198,"3,012",10,5,1/201,-,2.66,43,4.0,-396,"1,407",4,1,1/281,-,2.61,22,1.0,"-1,582","5,683",18,9,1/210,-,2.32,39,12.0,-252,"1,927",6,3,1/214,-,2.72,27,1.0,-433,"6,311",22,14,1/175,-,2.85,75,28.0,-427,"1,600",5,4,1/178,-,2.97,16,7.0
2026-03-24,火,いいえ,-731,"1,195",2,3,1/239,-,2.84,16,1.0,-983,"2,799",7,4,1/254,-,2.45,48,12.0,-454,898,2,1,1/299,-,2.75,16,1.0,-215,442,1,1,1/221,-,2.95,13,6.0,"+1,961","5,663",25,15,1/142,-,3.60,7,-,-340,774,2,2,1/194,-,2.96,36,7.0,-908,"1,966",3,8,1/179,-,3.14,20,4.0,-572,773,1,1,1/387,-,2.74,22,2.0,+844,"3,520",12,14,1/135,-,3.73,15,2.0,-794,"4,286",14,8,1/195,-,2.63,29,7.0,+220,"1,296",6,3,1/144,-,3.11,15,2.0
2026-03-23,月,いいえ,+816,"6,725",25,18,1/156,-,3.36,12,3.0,-310,"1,591",5,3,1/199,-,2.84,26,7.0,+512,"1,567",7,3,1/157,-,3.02,15,3.0,"+1,081","4,419",21,8,1/152,-,3.09,7,-,+652,"1,285",7,3,1/129,-,3.20,9,2.0,-796,"4,176",14,7,1/199,-,2.57,35,1.0,-957,"1,358",2,3,1/272,-,2.75,9,2.0,+803,"2,455",12,5,1/144,-,3.15,19,4.0,-207,"3,434",13,4,1/202,-,2.53,34,2.0,"-1,195","1,375",0,5,1/275,-,2.85,27,1.0,-85,"3,600",12,6,1/200,-,2.61,32,5.0
2026-03-22,日,はい,+355,"6,692",23,21,1/152,-,3.62,12,4.0,-607,817,1,1,1/409,-,2.72,22,1.0,-475,386,0,0,-,-,2.76,28,2.0,"+1,395","6,049",21,21,1/144,-,3.83,12,4.0,+163,"1,808",7,4,1/164,-,3.01,12,4.0,"-1,544","1,677",1,4,1/335,-,2.62,29,1.0,+478,"3,818",15,7,1/174,-,2.84,8,-,-402,"2,200",6,4,1/220,-,2.69,23,1.0,-555,"2,907",8,7,1/194,-,2.83,29,1.0,-604,"1,550",4,2,1/258,-,2.66,21,9.0,-616,"3,572",11,8,1/188,-,2.81,26,3.0
2026-03-21,土,はい,+386,"4,483",17,11,1/160,-,3.14,12,4.0,"-1,640","4,096",11,5,1/256,-,2.21,16,1.0,+167,"1,626",7,2,1/181,-,2.84,16,1.0,+480,"6,666",23,20,1/155,-,3.51,13,1.0,-569,"5,219",18,9,1/193,-,2.54,19,3.0,"+1,634","4,501",21,14,1/129,-,3.84,12,4.0,+525,"2,261",9,6,1/151,-,3.17,8,-,+566,"6,472",24,17,1/158,-,3.30,24,5.0,"+1,817","7,903",29,25,1/146,-,3.86,15,2.0,+926,"6,240",23,17,1/156,-,3.36,16,1.0,"+2,828","6,756",33,16,1/138,-,3.69,24,5.0
