日付,曜日,特定日,1151番台,,,,,,,,,1152番台,,,,,,,,,1153番台,,,,,,,,,1155番台,,,,,,,,,1156番台,,,,,,,,,1157番台,,,,,,,,,1158番台,,,,,,,,,1160番台,,,,,,,,,1161番台,,,,,,,,,1162番台,,,,,,,,,1163番台,,,,,,,,
,,,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差
2026-05-24,日,はい,-930,"5,074",17,9,1/195,-,2.54,14,-,"+1,561","8,407",35,21,1/150,-,3.53,38,7.0,-951,"1,354",1,5,1/226,-,2.94,46,8.0,-828,"6,327",18,18,1/176,-,3.06,75,1.0,-650,"2,314",6,5,1/210,-,2.76,74,16.0,+125,"6,184",19,23,1/147,-,3.85,17,2.0,-410,"1,582",4,4,1/198,-,2.90,26,8.0,-766,"2,457",6,8,1/176,-,3.08,58,12.0,"+4,767","7,133",39,15,1/132,-,3.80,15,1.0,-150,"1,167",4,3,1/167,-,3.02,18,1.0,+250,"6,635",23,16,1/170,-,3.00,31,5.0
2026-05-23,土,はい,"+2,145","2,779",17,5,1/126,-,3.36,6,-,-648,"8,433",28,17,1/187,-,2.51,89,16.0,+331,"1,733",8,2,1/173,-,2.86,19,5.0,-978,"1,673",3,4,1/239,-,2.77,34,3.0,-221,"4,314",12,15,1/160,-,3.39,73,10.0,-475,"5,094",17,7,1/212,-,2.32,31,12.0,"+2,623","5,919",30,8,1/156,-,2.89,13,7.0,-523,"1,068",3,0,1/356,-,2.60,63,11.0,-598,"5,611",18,15,1/170,-,3.08,52,18.0,+499,"1,901",9,4,1/146,-,3.11,14,1.0,+185,"3,036",11,7,1/169,-,2.99,31,12.0
2026-05-22,金,いいえ,-998,790,0,1,1/790,-,2.66,12,1.0,"-1,005","4,635",11,15,1/178,-,3.11,80,2.0,+633,"3,100",12,11,1/135,-,3.59,19,7.0,-103,"1,347",5,2,1/192,-,2.85,27,2.0,-381,"1,671",6,1,1/239,-,2.61,78,37.0,+854,"3,126",12,13,1/125,-,3.83,29,2.0,-42,267,1,0,1/267,-,2.91,37,8.0,-619,"1,092",2,2,1/273,-,2.77,41,2.0,-766,"4,830",16,11,1/179,-,2.85,25,6.0,+203,748,4,1,1/150,-,3.00,11,-,+75,"7,399",27,17,1/168,-,2.99,39,2.0
2026-05-21,木,いいえ,"+1,404","3,383",18,7,1/135,-,3.35,10,-,-98,"2,402",9,3,1/200,-,2.68,59,4.0,-543,958,3,0,1/319,-,2.66,35,12.0,-594,"2,581",7,7,1/184,-,2.95,14,4.0,-591,"2,034",6,3,1/226,-,2.66,63,4.0,-631,559,0,1,1/559,-,2.79,40,2.0,-232,430,1,1,1/215,-,2.95,16,1.0,-675,"4,145",12,13,1/166,-,3.22,38,3.0,-838,747,0,1,1/747,-,2.68,23,7.0,-287,416,1,0,1/416,-,2.82,15,1.0,+390,"3,018",12,6,1/168,-,2.94,55,15.0
2026-05-20,水,はい,"+1,183","4,217",20,7,1/156,-,2.99,11,1.0,"-1,705","3,890",8,10,1/216,-,2.66,62,11.0,-327,"1,037",3,2,1/207,-,2.88,28,9.0,+742,"6,508",27,13,1/163,-,2.98,15,4.0,-751,572,0,1,1/572,-,2.79,51,17.0,-747,"1,257",2,3,1/251,-,2.80,30,2.0,+425,"2,616",11,2,1/201,-,2.58,16,1.0,"-1,389","5,942",16,14,1/198,-,2.62,34,4.0,-300,"1,204",4,1,1/241,-,2.72,19,3.0,+428,"4,991",20,12,1/156,-,3.21,10,-,-444,"3,134",10,8,1/174,-,2.99,83,21.0
2026-05-19,火,いいえ,-346,"1,535",4,5,1/171,-,3.07,11,-,"+1,030","5,578",23,11,1/164,-,2.95,47,2.0,-505,784,1,2,1/261,-,2.87,41,6.0,"-1,896","1,825",1,3,1/456,-,2.42,21,3.0,-356,"2,128",6,5,1/193,-,2.87,45,4.0,"+1,389","6,042",26,14,1/151,-,3.32,14,2.0,"-1,031","1,228",2,1,1/409,-,2.56,35,14.0,+627,698,5,1,1/116,-,3.12,12,1.0,+645,"2,965",12,8,1/148,-,3.26,18,4.0,-971,828,0,1,1/828,-,2.64,18,4.0,-680,"2,916",10,2,1/243,-,2.36,48,1.0
2026-05-18,月,いいえ,+850,"4,429",18,9,1/164,-,2.98,8,-,"-1,163","3,366",6,11,1/198,-,2.94,61,15.0,"-1,108","2,940",7,5,1/245,-,2.49,36,10.0,+230,"2,075",9,2,1/189,-,2.73,16,1.0,-489,"1,181",3,2,1/236,-,2.79,26,8.0,-364,959,3,1,1/240,-,2.79,39,3.0,-429,734,1,2,1/245,-,2.91,16,1.0,+784,"1,470",8,2,1/147,-,3.02,15,4.0,+362,"4,141",15,8,1/180,-,2.78,18,2.0,-34,"1,345",5,1,1/224,-,2.72,11,3.0,"-1,816","2,381",3,5,1/298,-,2.51,46,7.0
2026-05-17,日,はい,"+1,821","4,095",20,8,1/146,-,3.20,12,-,"-2,414","2,297",2,1,1/766,-,2.08,21,1.0,+936,"6,566",23,21,1/149,-,3.69,34,1.0,+981,"2,207",12,4,1/138,-,3.17,15,3.0,"-1,020","3,538",11,5,1/221,-,2.46,26,5.0,-854,"1,214",3,1,1/304,-,2.64,38,4.0,"+1,157","7,167",27,16,1/167,-,2.99,18,3.0,"-1,089","1,196",1,2,1/399,-,2.63,27,1.0,-475,"2,463",8,4,1/205,-,2.70,33,6.0,+257,"3,842",14,9,1/167,-,3.01,15,3.0,+244,"5,806",19,15,1/171,-,3.04,20,2.0
2026-05-16,土,はい,-439,"4,796",15,12,1/178,-,2.93,25,6.0,+58,"3,266",13,5,1/181,-,2.74,16,2.0,+446,"3,311",14,4,1/184,-,2.66,41,5.0,-241,"1,775",6,3,1/197,-,2.81,36,1.0,-879,"6,591",18,17,1/188,-,2.78,18,1.0,-422,"6,182",21,14,1/177,-,2.85,31,6.0,-862,"1,560",4,1,1/312,-,2.53,35,4.0,+74,"7,647",28,16,1/174,-,2.80,14,-,"+3,151","7,443",33,23,1/133,-,4.12,19,1.0,"+1,561","7,240",28,19,1/154,-,3.42,17,1.0,-963,"2,369",5,5,1/237,-,2.65,45,4.0
2026-05-15,金,いいえ,-68,"2,070",6,7,1/159,-,3.18,21,3.0,-127,944,4,0,1/236,-,2.74,42,7.0,+468,"2,182",7,9,1/136,-,3.48,54,12.0,"+2,260","6,078",27,19,1/132,-,3.99,22,1.0,"+1,680","5,738",23,18,1/140,-,3.78,16,-,+323,"1,512",6,3,1/168,-,2.97,18,2.0,"+2,354","7,235",31,21,1/139,-,3.89,33,11.0,-808,"3,431",11,5,1/214,-,2.51,35,2.0,-646,"1,515",4,3,1/216,-,2.81,71,17.0,-239,"1,714",5,5,1/171,-,3.04,21,3.0,"-1,492","4,283",11,10,1/204,-,2.66,42,7.0
