日付,曜日,特定日,1158番台,,,,,,,,,1160番台,,,,,,,,,1161番台,,,,,,,,,1162番台,,,,,,,,,1163番台,,,,,,,,,1175番台,,,,,,,,,1176番台,,,,,,,,,1177番台,,,,,,,,,1178番台,,,,,,,,,1180番台,,,,,,,,
,,,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差
2026-05-23,土,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-87,80,0,0,-,-,3.40,11,-,+341,"9,207",38,21,1/156,-,3.77,30,13.0,-75,43,0,0,-,-,3.45,17,6.0,-187,134,0,0,-,-,3.34,32,2.0,"-1,527","7,700",25,16,1/188,-,2.71,60,28.0
2026-05-22,金,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"+2,052","6,179",32,16,1/129,-,4.77,6,-,-144,"1,990",9,2,1/181,-,3.03,51,5.0,-209,"1,204",5,0,1/241,-,2.85,12,6.0,-203,150,0,0,-,-,3.32,29,17.0,-314,505,1,1,1/253,-,3.32,46,17.0
2026-05-21,木,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-234,718,2,2,1/180,-,3.49,20,5.0,-764,681,0,1,1/681,-,2.99,50,26.0,"+1,532","5,580",30,10,1/140,-,3.91,10,-,-131,"1,590",6,1,1/227,-,2.82,15,5.0,-182,88,0,0,-,-,3.40,24,4.0
2026-05-20,水,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-418,871,3,0,1/290,-,2.93,9,-,-5,"3,047",13,7,1/152,-,3.67,37,13.0,-126,"2,387",11,3,1/171,-,3.12,17,5.0,"+1,806","7,385",37,15,1/142,-,4.08,12,3.0,+175,"4,814",21,11,1/150,-,3.80,24,7.0
2026-05-19,火,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+534,"2,741",14,5,1/144,-,3.64,8,-,-261,707,2,1,1/236,-,3.23,36,17.0,+327,"5,782",25,10,1/165,-,3.10,18,10.0,+49,"1,242",5,4,1/138,-,3.84,19,1.0,-144,"5,268",22,7,1/182,-,2.61,48,12.0
2026-05-18,月,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+161,"2,381",11,3,1/170,-,3.13,11,-,-63,"2,618",9,8,1/154,-,3.86,15,4.0,+88,"3,190",13,5,1/177,-,3.03,34,7.0,-115,811,3,0,1/270,-,3.00,27,12.0,-561,"5,291",21,9,1/176,-,2.88,44,10.0
2026-05-17,日,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+38,"2,186",9,4,1/168,-,3.32,11,-,+248,"2,600",12,4,1/163,-,3.27,15,4.0,+539,"4,679",22,8,1/156,-,3.36,31,6.0,-521,"1,860",6,2,1/233,-,2.79,25,10.0,-394,"4,650",16,10,1/179,-,3.12,42,11.0
2026-05-16,土,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+26,"2,250",10,3,1/173,-,3.13,11,-,+119,"4,168",18,7,1/167,-,3.14,24,5.0,-187,627,2,1,1/209,-,3.32,64,28.0,-713,"2,938",11,3,1/210,-,2.60,19,8.0,-325,"5,891",24,14,1/155,-,3.78,36,12.0
2026-05-15,金,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-158,102,0,0,-,-,3.38,14,-,-91,"4,708",21,6,1/174,-,2.77,37,2.0,-289,446,1,0,1/446,-,3.12,44,7.0,+502,"1,081",6,4,1/108,-,4.16,15,1.0,"+1,514","7,105",36,15,1/139,-,4.22,35,20.0
2026-05-14,木,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"+1,651","7,442",36,16,1/143,-,4.12,15,-,-166,776,2,3,1/155,-,3.69,29,14.0,-385,"1,791",6,4,1/179,-,3.35,37,1.0,-195,134,0,0,-,-,3.34,36,7.0,-358,"3,823",17,6,1/166,-,3.13,77,40.0
2026-05-13,水,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-292,"1,067",4,0,1/267,-,2.86,51,12.0,-253,239,0,0,-,-,3.22,26,7.0,-819,"8,396",31,20,1/165,-,3.52,39,13.0,+86,"1,057",4,3,1/151,-,3.64,19,-,-899,"3,147",9,9,1/175,-,3.53,65,14.0
2026-05-12,火,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-698,625,0,1,1/625,-,3.05,45,10.0,"+1,491","6,607",33,17,1/132,-,4.71,24,-,-269,"5,759",23,9,1/180,-,2.70,31,7.0,+390,"3,599",17,6,1/156,-,3.36,35,4.0,-466,"2,824",12,3,1/188,-,2.81,48,3.0
2026-05-10,日,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+572,"8,011",36,12,1/167,-,2.77,45,4.0,-555,"1,433",5,2,1/205,-,3.10,41,24.0,+315,"2,918",15,3,1/162,-,3.08,17,-,-275,"5,211",20,13,1/158,-,3.74,55,9.0,-608,"1,918",7,1,1/240,-,2.63,46,1.0
2026-05-09,土,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+307,"9,185",43,16,1/156,-,3.31,51,13.0,-160,385,1,0,1/385,-,3.19,36,2.0,-566,"1,111",3,0,1/370,-,2.70,29,-,-317,"1,149",4,1,1/230,-,3.02,34,5.0,-532,"2,127",8,3,1/193,-,3.01,38,2.0
2026-05-08,金,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-33,"2,894",12,5,1/170,-,3.21,79,42.0,-399,579,1,2,1/193,-,3.51,25,4.0,"+1,015","6,493",29,17,1/141,-,4.41,16,-,-99,"2,116",9,3,1/176,-,3.14,21,5.0,-473,861,2,0,1/431,-,2.82,37,12.0
2026-05-07,木,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-1,437","3,648",11,5,1/228,-,2.43,82,39.0,"+1,702","6,946",36,11,1/148,-,3.50,24,8.0,-197,132,0,0,-,-,3.34,43,11.0,-598,"6,139",25,9,1/181,-,2.60,16,-,-840,988,1,0,1/988,-,2.58,32,8.0
2026-05-06,水,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-844,"3,636",13,7,1/182,-,3.06,49,2.0,-780,"1,842",5,3,1/230,-,2.92,50,1.0,-889,"1,300",3,0,1/433,-,2.53,47,32.0,+169,"2,357",10,6,1/147,-,3.78,15,-,"+1,308","5,036",28,7,1/144,-,3.51,15,-
2026-05-05,火,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-125,"2,599",11,4,1/173,-,3.14,49,6.0,-454,"1,497",6,1,1/214,-,2.91,43,7.0,-678,"1,325",3,2,1/265,-,2.95,36,2.0,-397,667,1,1,1/334,-,3.14,34,7.0,+273,"2,644",11,5,1/165,-,3.34,27,-
2026-05-04,月,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-799,"1,148",2,2,1/287,-,3.01,48,16.0,-383,965,4,0,1/241,-,2.96,32,12.0,"+1,321","7,256",34,15,1/148,-,3.85,20,4.0,-169,"1,264",5,2,1/181,-,3.28,16,-,-439,"3,389",14,5,1/178,-,2.96,49,1.0
2026-05-03,日,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-490,714,2,0,1/357,-,2.97,45,9.0,-511,413,0,0,-,-,3.03,16,5.0,-314,483,1,0,1/483,-,3.08,16,5.0,"+1,326","9,115",47,15,1/147,-,3.60,11,-,-266,216,0,0,-,-,3.25,36,20.0
2026-05-02,土,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+575,"5,804",25,17,1/138,-,4.58,48,20.0,"+2,124","6,669",38,13,1/131,-,4.43,9,-,+90,"9,009",38,19,1/158,-,3.54,18,9.0,+410,"9,230",40,17,1/162,-,3.15,28,3.0,-597,"1,210",3,2,1/242,-,3.07,25,7.0
2026-05-01,金,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-581,727,1,2,1/242,-,3.33,49,7.0,-502,"3,645",14,6,1/182,-,2.94,25,6.0,-980,"4,249",12,10,1/193,-,3.03,42,3.0,-302,"1,568",5,1,1/261,-,2.73,39,14.0,-747,549,0,0,-,-,2.88,19,-
2026-04-30,木,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+628,"7,145",31,16,1/152,-,3.83,48,10.0,-774,"2,957",11,3,1/211,-,2.58,23,2.0,-721,"2,778",10,4,1/198,-,2.84,38,15.0,-606,"6,279",23,12,1/179,-,2.87,21,5.0,"+3,798","8,569",46,23,1/124,-,5.22,16,-
2026-04-29,水,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-1,234","3,669",10,8,1/204,-,2.90,76,17.0,-525,"2,635",10,4,1/188,-,2.98,17,8.0,-709,"2,150",7,3,1/215,-,2.86,29,12.0,-868,"4,463",17,9,1/172,-,3.19,9,-,"-1,666","3,351",6,7,1/258,-,2.55,59,30.0
2026-04-28,火,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-303,"1,080",3,1,1/270,-,2.96,70,36.0,"+3,090","4,326",27,14,1/106,-,5.29,11,3.0,+0,"2,593",12,3,1/173,-,3.03,34,16.0,+186,"3,955",18,8,1/152,-,3.60,8,-,-397,576,1,0,1/576,-,2.98,18,7.0
2026-04-27,月,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-1,268","1,836",3,2,1/367,-,2.49,39,7.0,+78,"2,303",10,3,1/177,-,3.08,14,5.0,"+2,496","4,218",28,10,1/111,-,4.92,32,16.0,+0,"2,023",9,2,1/184,-,3.00,9,-,+133,"5,040",20,11,1/163,-,3.45,16,2.0
2026-04-26,日,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-1,314","3,338",8,7,1/223,-,2.76,28,13.0,+499,"6,354",27,17,1/144,-,4.32,14,-,-719,"4,029",16,4,1/201,-,2.43,84,53.0,-598,"4,958",16,13,1/171,-,3.50,15,1.0,+343,"5,587",25,10,1/160,-,3.29,31,3.0
2026-04-25,土,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+974,"6,306",33,11,1/143,-,3.77,20,6.0,"-1,057","3,726",12,5,1/219,-,2.46,34,14.0,-923,"4,874",18,7,1/195,-,2.53,56,2.0,+194,"4,445",20,8,1/159,-,3.35,14,-,"-1,067","2,590",7,2,1/288,-,2.30,54,20.0
2026-04-24,金,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-820,"1,202",2,2,1/301,-,2.95,41,7.0,-302,"1,099",4,0,1/275,-,2.83,25,10.0,-685,"2,901",9,4,1/223,-,2.62,52,11.0,"+1,734","6,397",32,13,1/142,-,4.01,15,-,-423,"1,289",4,2,1/215,-,3.12,34,9.0
