日付,曜日,特定日,1158番台,,,,,,,,,1160番台,,,,,,,,,1161番台,,,,,,,,,1162番台,,,,,,,,,1163番台,,,,,,,,,1175番台,,,,,,,,,1176番台,,,,,,,,,1177番台,,,,,,,,,1178番台,,,,,,,,,1180番台,,,,,,,,
,,,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差
2026-04-12,日,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-1,232","3,963",13,4,1/233,-,2.22,26,3.0,+87,"2,033",9,3,1/169,-,3.23,12,-,-618,"2,646",10,2,1/221,-,2.54,23,11.0,-869,"4,002",12,8,1/200,-,2.82,68,40.0,-254,"4,484",18,5,1/195,-,2.45,28,2.0
2026-04-11,土,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-99,"1,150",5,2,1/164,-,3.41,16,-,"+4,279","6,600",45,12,1/116,-,4.96,16,-,-275,"1,006",3,2,1/201,-,3.30,16,-,-632,"1,830",6,2,1/229,-,2.82,42,20.0,-425,"2,609",10,2,1/217,-,2.57,22,6.0
2026-04-10,金,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-1,283","1,386",1,2,1/462,-,2.66,12,1.0,+339,"8,322",38,12,1/166,-,2.73,36,1.0,-781,"1,020",2,2,1/255,-,3.14,11,-,-434,"1,433",5,1,1/239,-,2.85,35,19.0,-842,"2,195",5,5,1/220,-,3.04,16,4.0
2026-04-09,木,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+167,"2,698",11,6,1/159,-,3.54,10,-,+401,"1,504",9,0,1/167,-,3.05,51,19.0,+0,"3,443",15,5,1/172,-,3.03,11,1.0,-453,765,3,0,1/255,-,3.05,32,20.0,+543,"1,117",7,0,1/160,-,3.20,12,1.0
2026-04-08,水,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+925,"1,581",11,1,1/132,-,3.50,10,-,-410,"2,792",11,3,1/199,-,2.73,82,61.0,+476,"1,175",8,1,1/131,-,3.54,13,3.0,-563,"2,613",10,1,1/238,-,2.37,15,2.0,"-1,158","3,213",10,2,1/268,-,2.14,21,6.0
2026-04-07,火,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+735,981,7,2,1/109,-,3.89,13,2.0,"-1,722","3,518",8,7,1/235,-,2.61,76,51.0,-309,424,1,0,1/424,-,3.15,25,12.0,+345,"4,723",20,12,1/148,-,4.00,10,-,"+1,031","3,358",18,6,1/140,-,3.75,11,1.0
2026-04-05,日,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+310,"8,054",36,11,1/171,-,2.56,25,4.0,-408,828,2,2,1/207,-,3.36,58,33.0,"+2,197","6,956",39,11,1/139,-,3.85,12,-,-102,"2,351",10,3,1/181,-,3.03,14,2.0,+184,"2,847",12,4,1/178,-,3.02,21,7.0
2026-04-04,土,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+357,"4,376",23,5,1/156,-,3.08,46,1.0,-550,665,1,0,1/665,-,2.89,53,7.0,+993,"4,830",25,6,1/156,-,3.11,25,10.0,"+1,579","5,640",28,10,1/148,-,3.60,15,-,+373,"3,253",15,2,1/191,-,2.55,45,20.0
2026-04-03,金,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-61,"3,767",15,6,1/179,-,2.94,62,17.0,+112,"1,148",6,3,1/128,-,3.82,28,-,-502,624,1,0,1/624,-,2.93,45,4.0,"-1,093","5,223",19,7,1/201,-,2.37,41,13.0,-453,"6,661",25,11,1/185,-,2.58,71,9.0
2026-04-02,木,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-819,"1,543",4,2,1/257,-,2.86,66,8.0,"-1,319","2,512",7,2,1/279,-,2.35,46,12.0,-437,"4,973",19,8,1/184,-,2.74,34,6.0,-203,"3,821",15,5,1/191,-,2.68,28,-,-258,"3,375",13,7,1/169,-,3.32,58,12.0
2026-04-01,水,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+203,"7,173",30,14,1/163,-,3.25,65,25.0,-300,"1,013",3,2,1/203,-,3.29,40,9.0,-214,"5,347",23,11,1/157,-,3.51,31,16.0,+535,"3,008",15,6,1/143,-,3.73,15,-,-452,427,0,1,1/427,-,3.27,40,9.0
2026-03-31,火,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-649,"3,105",10,5,1/207,-,2.76,88,54.0,-392,962,3,1,1/241,-,3.09,22,-,-828,"5,997",21,11,1/187,-,2.70,26,2.0,"+1,399","5,616",31,8,1/144,-,3.53,24,2.0,+143,"1,388",7,3,1/139,-,3.69,34,8.0
2026-03-30,月,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-689,660,0,1,1/660,-,3.01,94,36.0,-402,"1,681",5,2,1/240,-,2.84,22,-,"+2,832","7,162",43,10,1/135,-,3.91,24,2.0,-422,394,0,0,-,-,3.05,44,20.0,-322,"2,004",7,3,1/200,-,3.01,58,14.0
2026-03-29,日,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-999,860,1,0,1/860,-,2.70,83,29.0,-598,514,0,1,1/514,-,3.17,16,-,-759,"4,958",16,15,1/160,-,3.96,54,16.0,-992,"1,455",2,3,1/291,-,2.94,38,1.0,"-1,338","4,532",12,14,1/174,-,3.67,37,21.0
2026-03-28,土,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-1,193","6,361",22,11,1/193,-,2.52,89,49.0,"+2,144","8,042",42,9,1/158,-,2.77,18,-,-224,"2,595",11,5,1/162,-,3.40,40,8.0,-372,"1,164",5,1,1/194,-,3.13,29,11.0,-760,"1,600",4,1,1/320,-,2.59,32,3.0
2026-03-27,金,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-2,090","2,904",3,8,1/264,-,2.81,56,9.0,+762,"1,513",10,2,1/126,-,3.70,32,6.0,+907,"2,373",15,1,1/148,-,3.16,47,15.0,-242,126,0,0,-,-,3.35,14,-,-585,"1,231",4,1,1/246,-,2.93,26,12.0
2026-03-26,木,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-641,532,0,0,-,-,2.90,28,4.0,-368,529,1,0,1/529,-,3.03,51,23.0,-371,695,2,0,1/348,-,2.99,78,27.0,"+2,477","5,606",33,11,1/127,-,4.45,12,-,"+1,294","5,716",29,12,1/139,-,4.10,24,12.0
2026-03-25,水,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-421,320,0,0,-,-,3.13,21,-,"+1,163","7,272",37,12,1/148,-,3.53,49,12.0,-358,308,0,0,-,-,3.14,61,12.0,-10,"2,647",10,7,1/156,-,3.71,36,15.0,-278,410,1,0,1/410,-,3.17,37,1.0
2026-03-24,火,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+177,"5,276",21,14,1/151,-,4.02,19,-,"-1,003","1,022",1,0,1/1022,-,2.55,79,27.0,-674,"2,572",8,4,1/214,-,2.80,52,13.0,-465,610,1,1,1/305,-,3.20,39,11.0,-115,298,1,0,1/298,-,3.29,28,9.0
2026-03-23,月,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+468,"6,108",27,15,1/145,-,4.14,24,8.0,-738,982,2,1,1/327,-,2.94,74,24.0,-654,"3,935",14,9,1/171,-,3.35,50,26.0,-163,220,0,1,1/220,-,3.51,16,-,"+3,035","5,262",33,11,1/120,-,4.74,16,-
2026-03-22,日,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-2,349","3,114",4,9,1/240,-,2.95,33,17.0,"-1,031","1,638",2,5,1/234,-,3.24,54,5.0,-511,"2,378",9,5,1/170,-,3.37,39,6.0,+527,"4,249",21,7,1/152,-,3.44,16,-,-699,"1,240",3,1,1/310,-,2.80,49,10.0
2026-03-21,土,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+104,"5,657",24,13,1/153,-,3.78,10,-,-677,"3,794",15,3,1/211,-,2.33,48,6.0,-691,"2,762",9,5,1/197,-,2.97,38,12.0,+516,"3,813",17,7,1/159,-,3.38,26,16.0,-970,"2,383",8,3,1/217,-,2.76,42,4.0
2026-03-20,金,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"+1,133","7,730",38,11,1/158,-,3.01,15,-,"-1,070","1,959",4,1,1/392,-,2.31,47,12.0,-984,"2,532",8,4,1/211,-,2.84,19,4.0,-893,"3,642",10,11,1/173,-,3.63,35,1.0,-712,"4,076",14,10,1/170,-,3.45,34,15.0
2026-03-19,木,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-645,"3,158",9,9,1/175,-,3.52,34,2.0,-273,654,2,1,1/218,-,3.29,32,12.0,"+1,369","6,430",31,13,1/146,-,3.86,14,-,-404,798,1,2,1/266,-,3.25,20,4.0,-728,"2,550",6,7,1/196,-,3.29,16,2.0
2026-03-18,水,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-456,"1,641",4,4,1/205,-,3.25,19,4.0,-26,"1,176",6,1,1/168,-,3.26,29,10.0,+183,"3,533",15,7,1/161,-,3.41,35,6.0,-945,"1,941",4,2,1/324,-,2.50,15,-,+453,"5,064",23,9,1/158,-,3.33,15,-
2026-03-17,火,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-166,102,0,0,-,-,3.38,16,7.0,-42,752,4,1,1/150,-,3.46,24,8.0,-444,"1,721",6,3,1/191,-,3.17,44,18.0,"+1,883","4,063",25,7,1/127,-,4.15,9,-,"+1,348","7,094",34,16,1/142,-,4.21,26,2.0
2026-03-16,月,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+241,"1,217",6,3,1/135,-,3.74,15,-,"+1,845","4,384",24,9,1/133,-,4.15,24,5.0,-298,810,2,2,1/203,-,3.38,19,4.0,-90,703,3,0,1/234,-,3.11,27,3.0,-98,"2,772",12,5,1/163,-,3.34,57,30.0
2026-03-15,日,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"+3,501","8,300",46,24,1/119,-,5.42,26,1.0,-616,"1,726",5,3,1/216,-,3.04,32,6.0,-402,"1,737",5,4,1/193,-,3.27,14,-,-75,"2,888",11,4,1/193,-,2.86,25,11.0,-874,"1,477",3,2,1/295,-,2.80,43,11.0
2026-03-14,土,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-982,"3,497",12,5,1/206,-,2.64,42,21.0,-719,"4,655",19,6,1/186,-,2.60,15,2.0,+225,"2,218",11,3,1/158,-,3.30,13,-,+30,"9,233",41,14,1/168,-,2.69,21,5.0,-152,"1,189",5,2,1/170,-,3.37,16,1.0
2026-03-13,金,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-204,"1,972",8,2,1/197,-,2.92,35,16.0,"+1,314","5,799",31,11,1/138,-,4.04,12,-,-167,540,2,1,1/180,-,3.42,19,7.0,+404,"5,228",23,11,1/154,-,3.63,35,16.0,+530,"3,361",16,11,1/124,-,4.63,12,-
2026-03-12,木,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"+1,911","3,861",25,3,1/138,-,3.38,28,3.0,-287,"1,755",6,4,1/176,-,3.39,22,11.0,-220,500,2,0,1/250,-,3.20,11,-,-470,"2,650",10,5,1/177,-,3.21,48,20.0,-183,"2,752",10,6,1/172,-,3.35,25,3.0
2026-03-11,水,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-1,071","1,403",3,1,1/351,-,2.65,47,11.0,-233,624,2,1,1/208,-,3.33,19,9.0,+163,568,3,0,1/189,-,3.26,10,-,+43,"5,880",23,10,1/178,-,2.80,36,8.0,"-1,225","1,616",2,4,1/269,-,3.01,28,9.0
2026-03-10,火,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-616,"1,674",4,4,1/209,-,3.21,42,27.0,-561,442,0,0,-,-,2.99,12,3.0,"+2,267","6,294",30,25,1/114,-,5.53,9,-,-615,"1,588",4,4,1/199,-,3.30,65,23.0,-656,"2,420",8,4,1/202,-,2.95,15,3.0
2026-03-09,月,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-181,874,3,1,1/219,-,3.18,32,20.0,"+3,243","8,508",50,18,1/125,-,4.94,9,-,-147,"3,355",13,3,1/210,-,2.47,33,1.0,-246,"1,385",5,1,1/231,-,2.90,63,30.0,+730,"3,387",14,10,1/141,-,4.16,12,3.0
2026-03-08,日,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-527,371,0,0,-,-,3.07,21,7.0,+27,"9,030",36,25,1/148,-,4.46,14,2.0,-616,566,0,1,1/566,-,3.12,22,1.0,-11,"3,493",14,8,1/159,-,3.57,58,36.0,"+1,537","6,885",33,16,1/141,-,4.29,12,-
2026-03-07,土,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-799,934,1,1,1/467,-,2.86,18,-,-43,"2,635",11,5,1/165,-,3.35,25,7.0,+586,"5,711",27,8,1/163,-,2.96,29,3.0,-308,"1,869",6,5,1/170,-,3.52,58,29.0,+377,"6,937",29,15,1/158,-,3.58,26,1.0
2026-03-06,金,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+530,"2,415",13,2,1/161,-,3.10,14,-,"+1,378","4,366",27,5,1/136,-,3.60,14,-,+359,649,5,0,1/130,-,3.46,16,2.0,-488,"1,988",7,2,1/221,-,2.79,28,12.0,-571,"3,373",11,4,1/225,-,2.45,52,24.0
2026-03-05,木,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"+1,804","6,264",32,9,1/153,-,3.24,22,8.0,-156,968,4,1,1/194,-,3.22,14,-,-590,866,2,0,1/433,-,2.81,26,1.0,+300,"3,268",16,3,1/172,-,2.86,25,3.0,"-1,286","1,805",3,2,1/361,-,2.51,26,1.0
2026-03-04,水,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-231,"1,145",4,1,1/229,-,3.02,29,13.0,+525,"3,830",19,4,1/167,-,2.90,16,1.0,+571,"3,473",18,4,1/158,-,3.13,16,1.0,"-1,228","4,525",14,10,1/189,-,3.01,41,12.0,+104,"4,213",16,12,1/150,-,4.03,15,-
2026-03-03,火,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-21,"1,476",7,1,1/185,-,3.06,24,8.0,-655,"1,756",4,3,1/251,-,2.88,25,1.0,"-2,135","1,935",0,3,1/645,-,2.32,25,1.0,-567,"3,073",9,10,1/162,-,3.86,32,7.0,-438,"1,145",3,2,1/229,-,3.14,16,-
2026-03-01,日,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"+1,490","5,683",31,4,1/162,-,2.59,23,7.0,-841,"2,792",10,1,1/254,-,2.25,23,7.0,+172,"2,603",12,3,1/174,-,3.02,16,3.0,-468,"2,716",11,4,1/181,-,3.02,29,6.0,+884,"4,187",23,4,1/155,-,3.03,13,-
2026-02-28,土,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-996,"2,578",9,2,1/234,-,2.49,33,5.0,-72,"2,325",10,1,1/211,-,2.60,16,-,"-1,108","1,873",5,1,1/312,-,2.46,28,4.0,-348,"3,568",15,4,1/188,-,2.69,24,1.0,-995,"2,269",6,5,1/206,-,3.09,23,7.0
2026-02-27,金,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-225,"4,805",18,15,1/146,-,4.34,19,2.0,+802,"1,245",8,3,1/113,-,3.99,15,-,"+1,982","7,082",37,11,1/148,-,3.49,25,1.0,"+3,237","6,118",34,21,1/111,-,5.48,24,5.0,-609,519,0,1,1/519,-,3.17,17,2.0
2026-02-26,木,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-105,"4,609",20,5,1/184,-,2.55,11,2.0,"+2,707","5,135",29,15,1/117,-,5.09,26,15.0,-402,"1,166",3,2,1/233,-,3.12,34,8.0,-204,408,1,1,1/204,-,3.44,34,8.0,+709,"3,459",17,8,1/138,-,4.00,9,-
2026-02-25,水,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"+1,727","5,048",29,6,1/144,-,3.38,9,-,-725,"2,929",7,9,1/183,-,3.51,46,13.0,+179,"2,579",13,3,1/161,-,3.18,33,1.0,+231,"5,435",25,13,1/143,-,4.12,32,22.0,+829,"5,453",27,10,1/147,-,3.66,10,1.0
2026-02-24,火,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-117,410,1,0,1/410,-,3.17,19,6.0,"+1,440","6,659",35,12,1/142,-,3.89,42,23.0,-301,253,0,0,-,-,3.20,62,7.0,-339,470,1,0,1/470,-,3.10,55,13.0,+763,"2,137",13,1,1/153,-,3.15,13,-
2026-02-23,月,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-96,"1,478",6,1,1/211,-,2.93,14,-,-649,"2,308",7,5,1/192,-,3.18,66,17.0,-484,"1,310",4,1,1/262,-,2.85,41,10.0,-537,"1,913",7,1,1/239,-,2.64,49,8.0,-241,"1,289",5,3,1/161,-,3.52,31,17.0
2026-02-22,日,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+196,"3,229",15,5,1/161,-,3.24,10,-,-890,"1,128",2,2,1/282,-,3.03,45,3.0,-457,"2,851",11,3,1/204,-,2.67,42,13.0,-402,"2,374",8,4,1/198,-,2.99,54,9.0,-7,"1,108",5,1,1/185,-,3.20,29,19.0
2026-02-21,土,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"+2,519","9,089",48,15,1/144,-,3.74,15,-,-581,"1,874",7,0,1/268,-,2.47,49,1.0,"-1,248","2,329",5,2,1/333,-,2.31,38,14.0,-734,"4,166",15,8,1/181,-,3.01,48,10.0,-758,"1,619",4,3,1/231,-,3.02,24,9.0
2026-02-20,金,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+53,"6,492",28,12,1/162,-,3.22,33,17.0,-537,606,1,0,1/606,-,2.95,37,4.0,+884,"4,399",22,5,1/163,-,2.94,16,4.0,+734,"3,549",19,4,1/154,-,3.18,45,8.0,"+2,001","7,232",37,14,1/142,-,4.01,12,-
2026-02-19,木,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-805,"2,898",10,3,1/223,-,2.53,39,4.0,-627,801,2,0,1/401,-,2.88,35,11.0,-133,"2,465",11,2,1/190,-,2.81,24,10.0,-187,"2,287",8,5,1/176,-,3.33,73,34.0,+618,"4,328",21,10,1/140,-,4.07,14,-
2026-02-18,水,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-703,"3,184",11,7,1/177,-,3.27,33,18.0,-289,"2,148",9,1,1/215,-,2.65,15,-,-623,"3,058",12,3,1/204,-,2.60,15,-,-334,531,1,1,1/266,-,3.29,65,26.0,-276,"1,096",4,1,1/219,-,3.07,39,6.0
2026-02-17,火,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-77,"1,062",5,2,1/152,-,3.51,26,11.0,+849,"4,527",19,14,1/137,-,4.50,15,6.0,+636,"1,669",8,7,1/111,-,4.49,9,-,-382,"1,884",8,0,1/236,-,2.56,65,31.0,-393,793,2,0,1/397,-,2.89,34,8.0
2026-02-16,月,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+937,"4,246",22,7,1/146,-,3.57,28,4.0,"+1,382","2,725",14,10,1/114,-,4.78,24,3.0,-702,"1,324",3,1,1/331,-,2.72,21,-,"-1,216","3,307",8,7,1/220,-,2.79,42,11.0,-161,"1,677",7,2,1/186,-,3.10,31,3.0
2026-02-15,日,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-478,"3,258",13,3,1/204,-,2.54,46,14.0,"-1,437","3,617",11,5,1/226,-,2.45,46,14.0,-519,"3,227",11,4,1/215,-,2.56,15,-,-583,"1,989",7,2,1/221,-,2.79,32,4.0,-98,"3,039",12,6,1/169,-,3.30,28,13.0
2026-02-14,土,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-464,"3,855",15,7,1/175,-,3.09,30,1.0,-65,"3,173",14,2,1/198,-,2.52,39,9.0,+673,"4,695",22,10,1/147,-,3.82,13,-,-186,"3,934",18,6,1/164,-,3.14,29,16.0,+323,"6,073",28,8,1/169,-,2.76,29,16.0
