日付,曜日,特定日,588番台,,,,,,,,,600番台,,,,,,,,,601番台,,,,,,,,
,,,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差
2026-05-01,金,いいえ,"+1,451","4,515",21,11,1/141,-,3.34,8,-,+263,"1,653",7,3,1/165,-,3.16,9,1.0,+730,"4,356",17,9,1/168,-,2.85,19,10.0
2026-04-30,木,はい,-858,"5,043",17,10,1/187,-,2.60,19,8.0,"-1,605","5,050",15,11,1/194,-,2.74,11,-,-161,"4,048",14,9,1/176,-,2.98,44,25.0
2026-04-29,水,いいえ,"+2,193","5,556",28,15,1/129,-,3.74,9,3.0,"+1,330","4,387",17,13,1/146,-,3.79,6,-,+350,"1,355",7,1,1/169,-,2.91,46,37.0
2026-04-28,火,いいえ,+607,"3,419",13,6,1/180,-,2.73,12,4.0,-608,"4,576",15,9,1/191,-,2.64,8,-,"-1,334","3,905",10,12,1/178,-,3.68,65,53.0
2026-04-27,月,いいえ,-606,"3,211",9,5,1/229,-,2.54,19,10.0,+724,"4,275",19,7,1/164,-,2.54,9,-,-198,"3,272",12,5,1/192,-,2.59,26,7.0
2026-04-26,日,はい,+69,"6,622",23,21,1/151,-,4.14,24,10.0,-912,"1,238",3,1,1/310,-,2.87,14,-,"-1,367","2,162",5,5,1/216,-,3.18,28,4.0
2026-04-25,土,はい,"-2,017","2,235",3,2,1/447,-,2.40,26,15.0,"+2,332","5,486",24,20,1/125,-,4.73,11,-,+798,"5,161",20,18,1/136,-,4.44,11,-
2026-04-24,金,いいえ,-642,"2,214",5,8,1/170,-,3.87,10,-,+133,"5,295",18,15,1/160,-,3.59,45,26.0,"-1,570","1,857",3,4,1/265,-,3.10,19,9.0
2026-04-23,木,いいえ,+396,"3,631",14,8,1/165,-,3.07,12,-,"-1,445","2,217",3,5,1/277,-,3.07,53,40.0,"-1,245","5,291",17,10,1/196,-,2.44,13,1.0
2026-04-22,水,いいえ,"+1,413","5,290",20,14,1/156,-,3.42,9,5.0,+391,"4,451",17,10,1/165,-,3.01,57,48.0,+944,"5,148",21,9,1/172,-,2.44,4,-
2026-04-20,月,はい,-53,"2,136",8,4,1/178,-,3.06,16,14.0,-793,"5,875",21,12,1/178,-,2.58,82,66.0,"+1,153","3,559",15,7,1/162,-,2.92,2,-
2026-04-19,日,はい,"-1,217","2,319",4,6,1/232,-,3.26,14,10.0,-179,"4,371",17,6,1/190,-,2.24,81,67.0,"-1,022","1,489",3,2,1/298,-,2.91,4,-
2026-04-18,土,はい,+919,"5,911",24,13,1/160,-,2.85,5,3.0,"-1,160","1,626",3,1,1/407,-,2.59,82,77.0,+548,"4,521",17,10,1/167,-,2.96,2,-
2026-04-17,金,いいえ,-52,"4,546",16,11,1/168,-,3.14,21,19.0,-492,"3,143",11,5,1/196,-,2.65,81,60.0,+664,"5,986",23,16,1/153,-,3.46,2,-
2026-04-16,木,いいえ,"-1,479","3,455",8,9,1/203,-,3.24,25,16.0,"-1,035","6,752",20,17,1/182,-,3.02,80,55.0,-752,"1,437",4,1,1/287,-,2.75,9,-
2026-04-15,水,いいえ,"+1,931","4,585",20,17,1/124,-,4.62,9,7.0,"-1,923","4,421",10,10,1/221,-,2.81,87,78.0,+72,"4,707",16,12,1/168,-,3.26,2,-
2026-04-14,火,いいえ,+367,"3,585",16,9,1/143,-,3.41,35,34.0,"-1,034","3,900",11,9,1/195,-,3.00,85,50.0,"+1,583","3,908",20,8,1/140,-,3.06,1,-
2026-04-13,月,いいえ,-302,"6,937",24,18,1/165,-,3.24,48,46.0,"-1,172","4,045",12,6,1/225,-,2.31,79,31.0,+551,"2,942",11,9,1/147,-,3.75,2,-
2026-04-12,日,はい,+250,"4,868",20,6,1/187,-,2.06,55,13.0,-520,"4,861",16,11,1/180,-,2.91,42,38.0,"-1,107","2,346",7,2,1/261,-,2.44,4,-
2026-04-11,土,はい,"-1,791","4,860",13,7,1/243,-,2.07,62,34.0,-118,"5,128",19,10,1/177,-,2.60,28,26.0,+714,"6,000",25,13,1/158,-,2.82,2,-
2026-04-10,金,はい,"-1,230","2,164",5,3,1/271,-,2.71,46,12.0,+891,"3,884",16,13,1/134,-,4.14,34,32.0,-215,"2,140",7,2,1/238,-,2.57,2,-
2026-04-09,木,いいえ,+728,"3,931",16,10,1/151,-,3.38,28,27.0,"-1,955","2,890",5,4,1/321,-,2.44,45,17.0,"+1,154","5,717",22,15,1/155,-,3.40,1,-
2026-04-08,水,いいえ,"-1,849","5,566",15,14,1/192,-,3.04,41,4.0,"-1,862","3,539",9,4,1/272,-,2.17,37,35.0,+420,"5,750",23,12,1/164,-,2.72,2,-
2026-04-07,火,いいえ,-326,"6,459",23,18,1/158,-,3.57,32,7.0,-593,"6,508",21,19,1/163,-,3.70,25,24.0,"+1,593","5,973",25,14,1/153,-,3.07,1,-
2026-04-05,日,はい,"-1,758","2,567",6,3,1/285,-,2.47,12,11.0,"+2,026","6,641",26,18,1/151,-,3.54,28,16.0,"+2,857","5,334",29,13,1/127,-,3.46,1,-
