日付,曜日,特定日,1127番台,,,,,,,,1128番台,,,,,,,,1130番台,,,,,,,,1131番台,,,,,,,,1132番台,,,,,,,,1133番台,,,,,,,,1135番台,,,,,,,,1136番台,,,,,,,,1137番台,,,,,,,,1138番台,,,,,,,,1150番台,,,,,,,
,,,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差
2026-05-23,土,はい,+133,"1,410",7,6,1/108,-,35,2.0,-525,780,5,1,1/130,-,33,4.0,+180,"3,112",18,8,1/120,-,61,7.0,"+2,308","1,710",18,2,1/86,-,29,5.0,"-1,247","1,448",4,3,1/207,-,40,5.0,"+4,869","2,472",29,8,1/67,-,9,3.0,"+6,448","2,854",36,9,1/63,-,12,3.0,"-1,179","1,417",5,3,1/177,-,41,1.0,"-1,958","2,592",8,7,1/173,-,54,13.0,"+4,067","2,672",27,10,1/72,-,6,-,-912,675,2,1,1/225,-,24,12.0
2026-05-22,金,いいえ,+469,360,3,2,1/72,-,50,11.0,"+1,398","3,521",24,12,1/98,-,16,1.0,-9,686,5,3,1/86,-,84,33.0,"-2,699","2,456",6,4,1/246,-,51,1.0,-908,893,3,3,1/149,-,18,2.0,-372,457,2,1,1/152,-,15,3.0,-302,449,2,2,1/112,-,22,4.0,-88,515,4,2,1/86,-,35,11.0,-77,870,6,4,1/87,-,39,4.0,-226,"1,993",8,10,1/111,-,12,-,-308,763,5,2,1/109,-,24,2.0
2026-05-21,木,いいえ,"-1,617","1,583",4,4,1/198,-,83,39.0,-192,543,4,1,1/109,-,44,4.0,"-1,177","1,835",7,2,1/204,-,40,9.0,"-1,109","1,576",5,4,1/175,-,14,2.0,+232,591,4,2,1/99,-,18,4.0,+701,568,4,4,1/71,-,12,-,"+4,206","2,759",27,11,1/73,-,26,2.0,-43,487,4,1,1/97,-,24,5.0,-647,"3,360",15,13,1/120,-,19,1.0,+41,608,3,3,1/101,-,14,2.0,-472,894,6,2,1/112,-,31,5.0
2026-05-20,水,はい,"-1,174","2,678",13,1,1/191,-,61,10.0,+230,640,3,4,1/91,-,44,10.0,"-3,057","3,356",9,9,1/186,-,24,6.0,+28,"1,478",8,5,1/114,-,10,-,"-2,730","2,835",8,7,1/189,-,26,2.0,-687,722,3,2,1/144,-,18,4.0,+123,702,5,0,1/140,-,51,7.0,-291,"3,308",16,11,1/123,-,12,2.0,+185,"2,471",14,8,1/112,-,34,8.0,"+6,126","5,241",44,25,1/76,-,14,2.0,"+2,620","3,820",28,15,1/89,-,24,6.0
2026-05-19,火,いいえ,-103,152,1,0,1/152,-,51,7.0,"-1,705","1,705",5,1,1/284,-,54,3.0,+257,474,3,2,1/95,-,23,4.0,+784,"2,642",16,10,1/102,-,18,4.0,-595,699,3,2,1/140,-,18,4.0,+127,"1,943",11,5,1/121,-,19,1.0,-458,803,5,1,1/134,-,79,25.0,+346,937,6,3,1/104,-,14,-,+169,"1,759",11,2,1/135,-,41,3.0,+526,446,4,1,1/89,-,38,15.0,-872,936,4,3,1/134,-,44,3.0
2026-05-18,月,いいえ,+331,881,6,3,1/98,-,62,8.0,-476,679,4,1,1/136,-,22,6.0,-670,"1,425",5,5,1/143,-,32,3.0,"-1,250","2,772",10,8,1/154,-,29,7.0,+692,"1,893",12,7,1/100,-,16,1.0,"+6,785","4,930",48,17,1/76,-,32,3.0,-49,563,4,3,1/80,-,92,30.0,-270,735,5,2,1/105,-,15,-,"-2,343","2,530",6,8,1/181,-,54,15.0,-259,"3,712",18,14,1/116,-,39,7.0,+440,"1,476",9,5,1/105,-,39,7.0
2026-05-17,日,はい,-370,851,5,3,1/106,-,52,18.0,-108,669,5,2,1/96,-,11,-,"-1,218","1,625",7,1,1/203,-,26,4.0,-125,614,4,2,1/102,-,12,1.0,"+1,649","3,188",23,7,1/106,-,16,4.0,-615,508,1,2,1/169,-,68,16.0,-431,878,5,3,1/110,-,90,22.0,"+1,259","3,586",23,13,1/100,-,20,4.0,+478,465,3,4,1/66,-,52,18.0,+337,440,3,3,1/73,-,34,8.0,+309,"1,410",9,2,1/128,-,22,2.0
2026-05-16,土,はい,"-1,000","2,547",11,6,1/150,-,54,17.0,+641,844,6,4,1/84,-,28,7.0,-986,"1,629",5,6,1/148,-,15,1.0,+50,757,4,1,1/151,-,14,-,"+4,314","3,948",34,14,1/82,-,21,6.0,-880,"1,460",5,5,1/146,-,61,7.0,-147,403,3,0,1/134,-,79,18.0,"-1,568","2,884",10,9,1/152,-,34,5.0,+230,"1,079",7,3,1/108,-,61,7.0,"-1,637","3,056",10,11,1/146,-,37,3.0,"-1,663","3,212",13,7,1/161,-,29,1.0
2026-05-15,金,いいえ,"-1,564","1,260",2,3,1/252,-,47,3.0,-846,"1,598",8,1,1/178,-,41,10.0,"+7,631","3,187",41,13,1/59,-,16,-,"+1,801","3,048",22,9,1/98,-,31,3.0,"-2,538","1,559",1,3,1/390,-,55,8.0,"+1,607","2,537",18,10,1/91,-,60,5.0,"-2,793","3,789",13,7,1/189,-,68,4.0,+98,732,3,5,1/92,-,25,9.0,+21,698,3,3,1/116,-,64,4.0,"-1,763","2,269",8,3,1/206,-,44,3.0,"-2,399","1,940",4,3,1/277,-,28,3.0
2026-05-14,木,いいえ,-86,880,7,2,1/98,-,26,1.0,-384,966,7,2,1/107,-,35,1.0,+491,"1,172",8,3,1/107,-,34,8.0,-562,907,5,4,1/101,-,63,2.0,"+3,097","2,558",22,11,1/78,-,25,4.0,"-1,032","2,847",13,8,1/136,-,87,24.0,-44,832,6,4,1/83,-,61,19.0,"+2,831","1,916",19,6,1/77,-,21,11.0,"-1,879","1,971",6,3,1/219,-,89,2.0,+27,868,5,2,1/124,-,42,7.0,-239,816,5,5,1/82,-,10,-
