日付,曜日,特定日,1127番台,,,,,,,,1128番台,,,,,,,,1130番台,,,,,,,,1131番台,,,,,,,,1132番台,,,,,,,,1133番台,,,,,,,,1135番台,,,,,,,,1136番台,,,,,,,,1137番台,,,,,,,,1138番台,,,,,,,,1150番台,,,,,,,
,,,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差
2026-04-22,水,いいえ,-562,834,4,3,1/119,-,13,4.0,+92,"2,131",12,4,1/133,-,9,-,-821,744,2,4,1/124,-,31,4.0,"-2,319","2,613",5,11,1/163,-,69,13.0,"-4,616","5,516",16,13,1/190,-,80,11.0,-561,"1,710",7,6,1/132,-,56,9.0,"-2,109","2,410",7,5,1/201,-,80,11.0,-489,309,0,2,1/155,-,22,9.0,-6,456,4,2,1/76,-,27,5.0,-295,"2,633",13,9,1/120,-,47,13.0,-32,643,5,2,1/92,-,34,3.0
2026-04-20,月,はい,"+7,629","4,540",52,6,1/78,-,11,-,"+2,451","1,698",15,11,1/65,-,18,1.0,-149,887,7,2,1/99,-,18,1.0,-469,784,5,1,1/131,-,37,4.0,"-1,684","3,293",13,8,1/157,-,59,14.0,"-2,880","3,502",12,5,1/206,-,45,6.0,"-1,866","1,986",4,8,1/166,-,33,4.0,"+5,481","4,711",43,14,1/83,-,21,3.0,+831,654,6,2,1/82,-,29,8.0,+665,986,7,4,1/90,-,17,6.0,"+8,480","6,730",66,19,1/79,-,39,2.0
2026-04-19,日,はい,"+4,562","4,963",44,9,1/94,-,11,-,-45,686,4,5,1/76,-,19,6.0,-98,428,3,2,1/86,-,13,2.0,-979,"1,420",4,5,1/158,-,28,2.0,"-1,180","1,634",6,2,1/204,-,50,5.0,"-4,049","4,072",11,7,1/226,-,41,13.0,"-3,344","3,061",8,4,1/255,-,26,4.0,-111,844,7,2,1/94,-,22,3.0,"-1,797","1,860",5,5,1/186,-,45,4.0,-578,"1,842",9,4,1/142,-,26,4.0,+720,"3,274",20,10,1/109,-,52,2.0
2026-04-18,土,はい,"-1,785","3,766",13,16,1/130,-,39,3.0,"+7,631","3,406",41,15,1/61,-,18,6.0,"-1,156","1,568",5,4,1/174,-,11,-,+575,404,4,1,1/81,-,12,1.0,"+1,119","5,162",32,12,1/117,-,41,2.0,-56,"2,304",12,8,1/115,-,20,2.0,-752,412,0,1,1/412,-,18,6.0,"+4,563","5,218",43,15,1/90,-,18,6.0,-692,627,2,3,1/125,-,36,11.0,"-1,599","1,390",3,5,1/174,-,25,5.0,"-6,585","6,011",12,13,1/240,-,88,47.0
2026-04-17,金,いいえ,-293,"1,980",10,5,1/132,-,17,1.0,+76,426,2,2,1/107,-,31,1.0,"+2,805","3,566",29,9,1/94,-,6,-,+667,"1,959",12,7,1/103,-,12,1.0,"-1,473","3,396",14,8,1/154,-,36,5.0,"+8,127","3,348",44,11,1/61,-,16,1.0,+107,724,5,0,1/145,-,11,5.0,"-3,667","3,254",8,4,1/271,-,30,6.0,-265,460,2,3,1/92,-,24,7.0,-23,843,8,2,1/84,-,15,3.0,"-1,393","1,664",5,3,1/208,-,82,46.0
2026-04-16,木,いいえ,"+3,214","6,548",47,16,1/104,-,16,2.0,"+2,267","3,117",26,5,1/101,-,30,11.0,+674,537,5,2,1/77,-,6,-,-720,"3,881",19,10,1/134,-,38,8.0,-198,"1,808",10,3,1/139,-,18,1.0,+97,"3,043",18,7,1/122,-,16,2.0,"+3,977","3,305",31,8,1/85,-,14,8.0,"-1,656","2,157",7,4,1/196,-,19,1.0,"-1,071","1,421",5,1,1/237,-,14,8.0,+85,595,4,1,1/119,-,17,1.0,"-1,878","2,534",8,8,1/158,-,51,13.0
2026-04-15,水,いいえ,+109,626,4,2,1/104,-,22,3.0,"-2,845","3,175",8,9,1/187,-,60,27.0,+0,"1,373",8,3,1/125,-,12,1.0,-80,941,7,5,1/78,-,31,1.0,+668,"3,096",20,7,1/115,-,12,1.0,"-2,734","2,876",7,7,1/205,-,30,7.0,"-1,472","1,539",5,2,1/220,-,23,1.0,+314,"1,494",8,8,1/93,-,19,7.0,"+6,551","4,029",45,10,1/73,-,11,-,"-1,449","2,053",8,2,1/205,-,33,2.0,-208,974,8,3,1/89,-,30,7.0
2026-04-14,火,いいえ,-561,846,5,1,1/141,-,41,1.0,"-2,602","2,453",6,4,1/245,-,40,11.0,"+6,827","3,152",40,7,1/67,-,11,-,-51,32,0,0,-,-,28,1.0,"-2,063","2,039",5,5,1/204,-,22,1.0,-404,"2,976",16,5,1/142,-,21,8.0,"+3,574","4,824",39,12,1/95,-,21,8.0,-156,69,0,0,-,-,29,1.0,-904,925,3,4,1/132,-,13,2.0,"+3,920","4,295",39,5,1/98,-,28,1.0,"-1,352","2,018",6,5,1/183,-,27,5.0
2026-04-13,月,いいえ,+89,694,4,2,1/116,-,39,8.0,+88,893,5,3,1/112,-,41,2.0,+249,880,6,1,1/126,-,24,3.0,-88,733,6,1,1/105,-,13,2.0,-274,499,3,0,1/166,-,18,5.0,-881,919,2,7,1/102,-,11,-,+234,"1,109",8,0,1/139,-,21,2.0,"+3,993","2,379",25,9,1/70,-,19,1.0,+665,639,5,3,1/80,-,31,7.0,+701,"1,922",11,9,1/96,-,55,14.0,"+4,169","3,853",35,9,1/88,-,19,1.0
2026-04-12,日,はい,"-3,411","5,646",21,12,1/171,-,50,8.0,-416,"2,787",14,8,1/127,-,51,1.0,-899,"1,719",6,7,1/132,-,58,6.0,"+3,598","3,900",33,11,1/89,-,9,-,-467,"2,672",13,9,1/121,-,12,3.0,+335,610,5,1,1/102,-,9,-,"-2,114","4,234",17,10,1/157,-,33,21.0,+835,"4,143",25,12,1/112,-,34,1.0,-916,"2,475",11,6,1/146,-,38,4.0,-434,"1,399",6,4,1/140,-,52,1.0,"-2,089","3,515",11,11,1/160,-,42,4.0
2026-04-11,土,はい,"+3,257","4,419",33,16,1/90,-,26,17.0,+114,989,6,2,1/124,-,41,3.0,+238,"1,485",9,5,1/106,-,38,10.0,+582,"1,808",12,4,1/113,-,9,3.0,"+4,450","3,350",31,14,1/74,-,6,-,+312,"3,607",18,15,1/109,-,9,3.0,"+2,849","3,969",32,8,1/99,-,28,2.0,-116,"2,143",11,6,1/126,-,72,24.0,+28,"7,103",39,23,1/115,-,46,5.0,-508,861,3,6,1/96,-,48,2.0,"-3,259","3,746",11,7,1/208,-,46,5.0
2026-04-10,金,はい,-234,"3,468",19,9,1/124,-,74,6.0,+340,"1,855",12,4,1/116,-,52,6.0,-252,969,7,2,1/108,-,44,6.0,-104,973,7,4,1/88,-,24,5.0,+479,572,4,3,1/82,-,6,-,"+4,554","5,316",45,13,1/92,-,19,13.0,-156,799,7,1,1/100,-,38,6.0,"-1,908","5,352",22,19,1/131,-,68,16.0,+327,"2,251",13,7,1/113,-,46,1.0,"-1,381","4,398",19,13,1/137,-,45,1.0,"+1,634","7,520",47,19,1/114,-,32,8.0
2026-04-09,木,いいえ,-502,"1,406",6,4,1/141,-,50,10.0,"-1,304","3,809",15,14,1/131,-,54,4.0,-867,835,4,0,1/209,-,39,3.0,-334,"2,059",11,4,1/137,-,24,18.0,+108,"1,073",5,6,1/98,-,6,-,-728,"3,781",18,13,1/122,-,64,8.0,"-2,158","2,575",9,4,1/198,-,28,4.0,"-1,829","2,242",7,5,1/187,-,40,1.0,-946,"1,368",4,4,1/171,-,24,18.0,"-1,823","2,887",12,4,1/180,-,36,8.0,+873,"2,824",18,8,1/109,-,56,2.0
2026-04-08,水,いいえ,-931,"1,806",7,5,1/151,-,44,7.0,+61,"1,851",11,4,1/123,-,52,8.0,"+1,869","3,568",26,10,1/99,-,37,14.0,-810,828,3,4,1/118,-,23,1.0,"+1,386","2,256",17,6,1/98,-,11,-,-133,430,3,1,1/108,-,57,5.0,-667,782,3,3,1/130,-,16,5.0,-595,"1,487",7,1,1/186,-,16,5.0,"+2,220","3,286",26,8,1/97,-,22,1.0,-14,905,8,2,1/91,-,21,5.0,"-1,232","2,276",8,8,1/142,-,62,5.0
2026-04-07,火,いいえ,-380,"4,090",22,8,1/136,-,25,2.0,"-3,320","4,154",13,9,1/189,-,56,16.0,"-2,185","5,869",26,15,1/143,-,40,6.0,+396,"2,475",15,5,1/124,-,19,10.0,"-1,388","3,536",15,9,1/147,-,25,2.0,"+1,837","4,859",33,14,1/103,-,56,16.0,"+5,316","4,515",43,11,1/84,-,9,-,"+2,295","4,832",36,10,1/105,-,9,-,"-4,567","4,636",15,2,1/273,-,34,9.0,"-1,427","3,145",13,8,1/150,-,23,4.0,"+1,695","2,973",22,9,1/96,-,56,16.0
2026-04-05,日,はい,"-1,664","4,482",19,13,1/140,-,29,1.0,-951,"5,222",27,12,1/134,-,18,2.0,"-4,338","4,288",13,6,1/226,-,22,3.0,"+4,380","6,954",52,20,1/97,-,32,3.0,-596,"3,314",16,9,1/133,-,14,-,-407,"5,910",35,10,1/131,-,56,24.0,-103,"2,201",13,3,1/138,-,16,2.0,-561,"3,280",17,9,1/126,-,19,1.0,-789,"1,292",4,6,1/129,-,28,6.0,"+5,108","1,956",28,4,1/61,-,19,1.0,"-1,126","3,535",15,13,1/126,-,89,33.0
2026-04-04,土,はい,+539,"3,259",19,10,1/112,-,18,4.0,+349,"1,370",9,3,1/114,-,20,2.0,+707,"1,861",14,1,1/124,-,12,4.0,+149,"2,400",12,8,1/120,-,64,25.0,"+8,938","6,454",66,15,1/80,-,14,2.0,+45,"1,131",5,5,1/113,-,37,13.0,"-1,072","3,257",14,9,1/142,-,8,-,-902,"1,242",3,5,1/155,-,21,1.0,"-2,397","2,659",7,5,1/222,-,24,3.0,+119,"3,753",22,9,1/121,-,39,2.0,"-3,740","5,340",18,12,1/178,-,88,24.0
2026-04-03,金,いいえ,+72,"1,295",8,3,1/118,-,34,8.0,"-2,370","2,787",8,6,1/199,-,26,2.0,+181,829,3,7,1/83,-,24,7.0,"-1,296","2,797",9,12,1/133,-,87,33.0,+109,386,2,2,1/97,-,44,7.0,"-2,978","4,041",12,13,1/162,-,54,10.0,+597,"2,248",14,8,1/102,-,6,-,-215,729,5,2,1/104,-,17,3.0,+139,319,2,1,1/106,-,14,8.0,-83,"4,668",26,9,1/133,-,37,3.0,-335,"2,391",11,8,1/126,-,44,7.0
2026-04-02,木,いいえ,+571,"3,091",20,7,1/114,-,17,1.0,+61,811,5,2,1/116,-,25,3.0,-44,414,3,2,1/83,-,36,1.0,-678,"1,563",6,5,1/142,-,77,34.0,+783,"1,585",11,6,1/93,-,26,1.0,"-2,980","4,853",17,11,1/173,-,35,1.0,+275,"1,414",9,3,1/118,-,9,-,+149,802,5,2,1/115,-,16,7.0,"+8,945","4,445",53,15,1/65,-,22,5.0,-545,"1,374",6,3,1/153,-,34,8.0,"-2,725","3,570",12,7,1/188,-,43,7.0
2026-04-01,水,いいえ,-525,844,5,2,1/121,-,18,2.0,-944,"1,545",5,4,1/172,-,25,3.0,-480,873,5,2,1/125,-,27,2.0,"-2,726","3,578",11,10,1/170,-,77,15.0,-808,952,3,5,1/119,-,47,12.0,"-1,193","2,252",10,3,1/173,-,22,3.0,-568,803,3,4,1/115,-,16,-,"+2,029","2,550",21,7,1/91,-,19,1.0,"-2,371","3,393",13,5,1/189,-,62,15.0,"+3,063","1,624",21,0,1/77,-,32,5.0,"-2,508","3,254",11,4,1/217,-,35,3.0
2026-03-31,火,いいえ,+283,"4,160",24,12,1/116,-,25,4.0,"+1,343",857,9,3,1/71,-,30,5.0,"+3,301","2,252",24,5,1/78,-,14,3.0,-103,870,7,2,1/97,-,51,3.0,-500,"1,733",7,7,1/124,-,40,10.0,-755,"1,364",5,5,1/136,-,11,2.0,+113,971,5,3,1/121,-,9,-,"+6,262","4,507",46,11,1/79,-,19,5.0,+579,"2,536",14,11,1/101,-,48,2.0,"-2,997","2,619",6,5,1/238,-,46,6.0,"+1,634","3,768",29,4,1/114,-,21,2.0
2026-03-30,月,はい,"-1,278","1,587",4,6,1/159,-,34,1.0,"+6,688","3,192",40,8,1/67,-,50,5.0,-97,407,3,2,1/81,-,41,2.0,-978,"1,641",5,7,1/137,-,39,2.0,-84,677,5,3,1/85,-,33,19.0,"+2,148","4,367",34,5,1/112,-,9,-,"+6,542","3,599",41,12,1/68,-,14,5.0,+53,752,5,1,1/125,-,45,4.0,-233,964,7,3,1/96,-,36,2.0,"-1,319","2,106",8,5,1/162,-,37,1.0,"-2,608","5,206",19,16,1/149,-,39,2.0
2026-03-29,日,はい,-879,"1,654",8,1,1/184,-,24,4.0,"-4,274","4,271",12,8,1/214,-,85,10.0,"-1,226","1,517",4,5,1/169,-,50,14.0,-284,938,6,4,1/94,-,24,4.0,-681,874,5,2,1/125,-,36,5.0,"+1,101","2,875",16,16,1/90,-,11,-,"+3,001","3,700",30,10,1/93,-,24,4.0,"-2,755","6,382",26,14,1/160,-,75,25.0,-469,816,5,2,1/117,-,20,9.0,-892,955,5,0,1/191,-,28,4.0,"-1,179","1,616",6,2,1/202,-,31,3.0
2026-03-28,土,はい,-713,"1,908",9,3,1/159,-,12,-,"-1,138","3,991",19,8,1/148,-,72,30.0,-873,"1,855",8,4,1/155,-,28,1.0,"-1,490","1,319",2,4,1/220,-,27,1.0,"-1,016","1,814",7,5,1/151,-,35,7.0,+250,"6,987",42,11,1/132,-,22,1.0,"-1,250","3,611",16,10,1/139,-,42,5.0,"-1,571","3,149",13,5,1/175,-,37,2.0,+548,547,5,2,1/78,-,19,7.0,"+7,104","3,788",44,12,1/68,-,21,2.0,"+6,451","4,287",45,12,1/75,-,26,4.0
2026-03-27,金,いいえ,"+3,383","1,838",21,6,1/68,-,8,-,"-2,797","2,175",2,9,1/198,-,66,18.0,-364,489,1,4,1/98,-,12,4.0,"+2,857","2,704",23,10,1/82,-,16,4.0,"+4,104","3,271",31,10,1/80,-,19,3.0,-117,569,4,2,1/95,-,44,10.0,-84,52,0,0,-,-,22,3.0,-194,101,0,0,-,-,34,4.0,"-3,790","3,931",9,10,1/207,-,30,8.0,-578,"5,660",32,10,1/135,-,48,4.0,-793,"1,801",8,3,1/164,-,34,4.0
2026-03-26,木,いいえ,+34,"4,123",21,15,1/115,-,15,-,+218,"1,085",6,5,1/99,-,64,10.0,"+1,957","2,081",19,4,1/90,-,18,3.0,-469,"3,712",20,7,1/137,-,29,5.0,-77,659,5,2,1/94,-,54,3.0,-202,989,7,4,1/90,-,51,7.0,-204,"3,278",19,6,1/131,-,24,3.0,-10,486,3,4,1/69,-,33,4.0,-346,"4,857",24,19,1/113,-,21,3.0,-310,849,7,0,1/121,-,39,6.0,-490,"3,423",17,10,1/127,-,44,5.0
2026-03-25,水,いいえ,"-2,431","3,185",11,6,1/187,-,22,3.0,"-2,678","5,067",16,20,1/141,-,88,26.0,+20,532,3,1,1/133,-,31,7.0,-986,"1,289",5,2,1/184,-,22,3.0,+0,905,5,3,1/113,-,62,21.0,+367,897,6,2,1/112,-,19,1.0,+261,634,3,4,1/91,-,12,-,"+2,688","4,639",34,14,1/97,-,39,8.0,-148,"1,499",8,2,1/150,-,18,6.0,-132,"3,191",17,7,1/133,-,24,2.0,+349,"1,481",7,10,1/87,-,41,2.0
2026-03-24,火,いいえ,+669,520,5,1,1/87,-,20,1.0,"-1,177","2,638",10,9,1/139,-,87,15.0,-224,"1,431",7,4,1/130,-,32,8.0,+572,290,3,2,1/58,-,23,1.0,-397,910,6,3,1/101,-,42,10.0,-344,547,3,2,1/109,-,20,1.0,-731,"2,050",8,8,1/128,-,22,2.0,"-1,564","1,372",3,3,1/229,-,72,28.0,"+3,855","2,857",27,12,1/73,-,19,-,-113,684,4,4,1/86,-,24,1.0,-140,"2,743",14,9,1/119,-,44,2.0
2026-03-23,月,いいえ,"+2,755","4,325",32,12,1/98,-,22,3.0,-715,"4,927",26,10,1/137,-,86,45.0,"-1,999","1,995",6,4,1/200,-,24,2.0,"+1,766","2,228",18,7,1/89,-,32,1.0,"-2,092","4,500",19,10,1/155,-,41,9.0,+254,393,3,1,1/98,-,17,2.0,-226,782,5,3,1/98,-,13,-,-378,911,5,5,1/91,-,29,5.0,"+3,272","3,894",29,18,1/83,-,19,2.0,-103,65,0,0,-,-,15,2.0,"-1,650","2,287",6,9,1/152,-,31,2.0
2026-03-22,日,はい,"+1,492","1,782",13,10,1/77,-,42,7.0,-716,"1,757",8,4,1/146,-,94,52.0,+91,373,2,2,1/93,-,20,5.0,"-3,488","4,013",12,8,1/201,-,35,2.0,"-1,926","2,720",11,4,1/181,-,21,1.0,"-1,283","1,875",6,5,1/170,-,27,6.0,+681,"1,340",8,7,1/89,-,15,4.0,+238,"2,854",18,4,1/130,-,35,2.0,-284,792,5,3,1/99,-,29,2.0,"+2,519","1,817",18,5,1/79,-,11,-,-521,"6,517",35,13,1/136,-,33,4.0
2026-03-21,土,はい,"+5,139","5,484",46,18,1/86,-,55,1.0,-949,828,2,2,1/207,-,92,37.0,"+6,261","5,972",53,16,1/87,-,19,1.0,"+4,137","2,715",25,14,1/70,-,14,-,+309,"1,467",9,2,1/133,-,15,1.0,-103,632,5,1,1/105,-,18,1.0,+120,675,4,2,1/113,-,15,1.0,-985,"2,056",9,4,1/158,-,54,25.0,"+1,174","2,239",14,10,1/93,-,29,7.0,"-2,135","3,070",12,4,1/192,-,17,2.0,"+3,009","5,908",41,23,1/92,-,22,3.0
2026-03-20,金,はい,"-3,381","6,008",22,16,1/158,-,94,2.0,"-2,160","7,016",31,17,1/146,-,92,44.0,"-3,058","6,448",26,17,1/150,-,28,12.0,"-1,293","2,458",9,7,1/154,-,48,1.0,-766,"4,940",23,19,1/118,-,31,3.0,"-2,348","5,551",25,10,1/159,-,14,2.0,"-1,092","2,517",11,6,1/148,-,16,2.0,"-1,757","4,991",21,13,1/147,-,46,9.0,"-1,380","3,636",15,9,1/152,-,47,1.0,"+12,112","8,237",83,26,1/76,-,12,-,"-3,846","6,615",28,10,1/174,-,37,6.0
2026-03-19,木,いいえ,"-2,273","3,009",10,7,1/177,-,92,18.0,-983,"5,421",28,11,1/139,-,74,34.0,"-3,609","2,592",3,6,1/288,-,16,2.0,-205,502,3,2,1/100,-,38,12.0,"-1,574","1,743",5,3,1/218,-,26,1.0,"+6,550","6,907",59,20,1/87,-,6,-,"+3,177","2,261",24,3,1/84,-,14,8.0,-492,493,2,1,1/164,-,39,1.0,"-1,881","2,293",8,3,1/208,-,40,1.0,+322,"3,848",22,12,1/113,-,25,2.0,-103,"1,748",9,4,1/134,-,23,7.0
2026-03-18,水,いいえ,"-2,791","5,304",20,14,1/156,-,88,30.0,"-1,568","3,810",19,3,1/173,-,58,17.0,+828,"4,134",27,9,1/115,-,9,-,"-1,088",927,3,2,1/185,-,36,4.0,"+6,081","2,484",33,8,1/61,-,12,3.0,+240,820,4,5,1/91,-,9,-,-435,"3,249",17,8,1/130,-,41,5.0,-913,"1,243",5,2,1/178,-,30,2.0,-463,209,0,0,-,-,28,1.0,-667,"1,690",7,6,1/130,-,32,2.0,"+1,610","4,141",28,10,1/109,-,27,15.0
2026-03-17,火,いいえ,-842,"1,971",9,2,1/179,-,72,25.0,"-1,334","3,965",18,9,1/147,-,44,7.0,+69,743,3,5,1/93,-,9,-,-86,53,0,0,-,-,27,1.0,-281,928,6,4,1/93,-,13,4.0,-191,789,6,2,1/99,-,47,3.0,-172,89,0,0,-,-,37,1.0,"+4,519","6,298",50,16,1/95,-,26,13.0,"+3,562","3,910",32,13,1/87,-,26,13.0,-91,41,0,0,-,-,36,6.0,"+1,320","5,067",32,14,1/110,-,30,3.0
2026-03-16,月,いいえ,-613,"3,426",18,7,1/137,-,45,3.0,+472,268,3,1,1/67,-,42,3.0,-430,700,4,2,1/117,-,15,1.0,"+4,524","2,457",29,5,1/72,-,14,-,+347,"1,370",9,2,1/125,-,15,1.0,+202,"2,092",12,5,1/123,-,48,3.0,-857,"2,207",9,7,1/138,-,18,3.0,"-1,944","2,076",5,5,1/208,-,76,4.0,-315,"1,996",9,7,1/125,-,72,24.0,+750,941,7,4,1/86,-,23,5.0,"-4,227","4,376",12,7,1/230,-,39,16.0
2026-03-15,日,はい,"-1,973","4,349",20,6,1/167,-,18,4.0,-218,110,0,0,-,-,61,16.0,"+6,593","3,306",40,9,1/67,-,14,3.0,+175,819,5,3,1/102,-,26,2.0,-68,38,0,0,-,-,35,9.0,+642,"5,221",28,22,1/104,-,45,2.0,"+1,614","1,709",15,6,1/81,-,11,-,-103,58,0,0,-,-,43,8.0,-948,"1,568",4,8,1/131,-,73,12.0,-78,43,0,0,-,-,24,6.0,+380,660,3,6,1/73,-,18,4.0
2026-03-14,土,はい,+770,779,7,2,1/87,-,16,4.0,"-1,087","2,151",9,5,1/154,-,66,9.0,+303,508,3,3,1/85,-,24,8.0,"-2,349","3,248",10,8,1/180,-,44,15.0,-53,34,0,0,-,-,24,8.0,-38,"5,032",27,16,1/117,-,50,6.0,+184,798,5,2,1/114,-,12,-,-749,"3,439",16,10,1/132,-,52,2.0,-126,563,4,2,1/94,-,57,5.0,-74,406,2,4,1/68,-,29,5.0,"+2,032","4,852",35,9,1/110,-,16,4.0
2026-03-13,金,いいえ,-517,750,3,3,1/125,-,21,4.0,+114,"4,705",23,22,1/105,-,33,2.0,+821,981,8,3,1/89,-,17,-,-478,"1,783",8,6,1/127,-,31,4.0,-609,730,3,3,1/122,-,21,4.0,+534,"1,606",10,7,1/94,-,49,3.0,"-1,238","2,279",9,4,1/175,-,27,2.0,-651,812,3,3,1/135,-,46,13.0,-345,419,1,3,1/105,-,49,3.0,-243,413,3,0,1/138,-,17,-,"-2,274","2,397",7,5,1/200,-,25,4.0
2026-03-12,木,いいえ,+205,"3,407",19,9,1/122,-,16,5.0,-4,741,6,3,1/82,-,55,6.0,"-2,560","2,782",9,3,1/232,-,32,1.0,-27,805,6,5,1/73,-,31,6.0,+172,"1,043",6,4,1/104,-,19,3.0,+584,"3,591",24,7,1/116,-,59,4.0,"-1,038","2,202",9,5,1/157,-,25,4.0,"+1,152","3,219",22,7,1/111,-,49,17.0,-785,"1,494",5,5,1/149,-,59,4.0,+148,825,5,2,1/118,-,21,2.0,-951,"1,235",5,1,1/206,-,11,-
2026-03-11,水,いいえ,"-1,810","3,068",11,6,1/180,-,21,9.0,-192,938,7,3,1/94,-,59,25.0,+751,"1,425",10,4,1/102,-,24,3.0,-89,43,0,0,-,-,25,1.0,"+8,120","4,089",49,10,1/69,-,30,2.0,"-8,584","9,233",28,15,1/215,-,70,11.0,-79,52,0,0,-,-,12,6.0,-251,548,3,2,1/110,-,84,14.0,-266,547,3,3,1/91,-,34,4.0,"-2,210","2,250",5,8,1/173,-,28,3.0,+489,"1,245",9,2,1/113,-,6,-
2026-03-10,火,はい,+29,"5,235",31,8,1/134,-,17,11.0,"-1,089","1,830",6,5,1/166,-,76,12.0,-555,"4,232",20,16,1/118,-,39,1.0,"+3,212","3,747",32,10,1/89,-,24,3.0,"-1,639","2,209",7,6,1/170,-,38,14.0,"-4,372","6,498",23,18,1/158,-,64,15.0,"+4,872","3,210",36,3,1/82,-,6,-,-794,974,5,2,1/139,-,86,10.0,-846,"5,595",30,13,1/130,-,49,10.0,+233,493,4,0,1/123,-,20,3.0,-242,"3,121",17,9,1/120,-,21,1.0
2026-03-09,月,いいえ,"+3,801","4,904",38,16,1/91,-,28,6.0,"-1,615","2,775",12,3,1/185,-,60,19.0,-19,471,4,0,1/118,-,33,1.0,-422,644,3,3,1/107,-,30,2.0,"-1,479","1,301",2,5,1/186,-,19,7.0,"+1,100","1,229",10,5,1/82,-,32,2.0,+443,428,4,0,1/107,-,12,-,-16,485,4,0,1/121,-,84,24.0,-66,33,0,0,-,-,41,8.0,"+2,333","4,190",32,10,1/100,-,22,3.0,-80,38,0,0,-,-,12,-
2026-03-08,日,はい,"-1,728","3,819",17,7,1/159,-,41,13.0,"-2,955","3,274",7,10,1/193,-,55,4.0,-74,529,5,0,1/106,-,18,3.0,"+4,978","3,691",36,10,1/80,-,26,5.0,"+5,066","2,997",32,11,1/70,-,21,2.0,"-1,756","5,061",21,18,1/130,-,51,10.0,"+1,949","2,822",23,6,1/97,-,19,1.0,"-1,190","3,890",19,5,1/162,-,87,32.0,+662,"1,186",10,0,1/119,-,51,10.0,"-2,068","2,669",10,4,1/191,-,28,2.0,"+4,377","5,926",51,8,1/100,-,15,-
2026-03-07,土,はい,-471,"2,134",11,4,1/142,-,36,15.0,"+4,666","2,924",30,12,1/70,-,52,4.0,"+3,563","3,771",34,8,1/90,-,16,-,-434,641,3,3,1/107,-,90,29.0,"-1,102","2,922",13,8,1/139,-,42,6.0,"-2,931","2,319",4,5,1/258,-,48,6.0,"-1,300","5,302",27,11,1/140,-,54,2.0,-500,384,1,0,1/384,-,92,2.0,+456,"3,530",18,16,1/104,-,61,7.0,"+4,754","5,467",47,13,1/91,-,21,5.0,+448,667,4,4,1/83,-,21,5.0
2026-03-06,金,いいえ,"+11,707","5,993",72,14,1/70,-,35,2.0,-259,"1,468",7,4,1/133,-,79,13.0,"-1,429","1,862",6,3,1/207,-,36,1.0,"-1,571","2,011",5,7,1/168,-,79,13.0,-350,"5,649",31,12,1/131,-,26,-,"-1,474","1,737",5,3,1/217,-,36,1.0,-645,413,1,0,1/413,-,33,2.0,"-1,614","3,544",15,8,1/154,-,82,3.0,"-1,905","2,208",5,8,1/170,-,66,18.0,"-3,698","4,982",17,11,1/178,-,48,12.0,+28,"2,646",15,5,1/132,-,31,5.0
2026-03-05,木,いいえ,-81,"1,519",9,2,1/138,-,56,11.0,-908,"1,514",6,3,1/168,-,67,11.0,-80,"1,753",9,3,1/146,-,19,1.0,-347,"1,537",7,5,1/128,-,45,8.0,-631,"1,488",6,5,1/135,-,18,4.0,-256,118,0,0,-,-,33,8.0,+514,304,3,2,1/61,-,37,4.0,-908,"2,425",9,9,1/135,-,72,5.0,+151,"1,096",6,5,1/100,-,33,8.0,-872,942,4,3,1/135,-,14,-,+906,"3,994",27,7,1/117,-,25,6.0
2026-03-04,水,いいえ,-735,"3,881",18,11,1/134,-,52,16.0,"-5,672","7,172",21,20,1/175,-,62,10.0,"-1,550","1,668",5,4,1/185,-,14,2.0,-202,"1,685",9,2,1/153,-,30,2.0,"+5,850","3,604",39,10,1/74,-,16,2.0,"-1,119","2,219",10,6,1/139,-,31,1.0,"+3,447","9,499",63,25,1/108,-,36,5.0,"-1,121","2,066",7,9,1/129,-,66,4.0,"-2,889","3,230",10,5,1/215,-,77,11.0,+315,447,3,3,1/75,-,12,-,"-3,549","4,097",12,10,1/186,-,28,12.0
2026-03-03,火,いいえ,"-1,458","3,545",13,12,1/142,-,49,14.0,+652,"2,333",14,7,1/111,-,60,2.0,"+6,638","3,497",39,14,1/66,-,9,-,-996,"2,375",10,4,1/170,-,25,2.0,+498,538,5,1,1/90,-,35,7.0,"+6,031","3,217",35,14,1/66,-,28,3.0,-314,684,4,3,1/98,-,79,19.0,-328,"2,373",13,5,1/132,-,49,14.0,-317,"2,198",12,5,1/129,-,58,9.0,-362,"2,208",11,6,1/130,-,22,13.0,"+5,695","5,811",52,13,1/89,-,23,1.0
